"report"
"Iteration" "cd etc.."
("Iteration" "cd" "cl" "cmx" "cmy" "cmz" "cx" "cd-scale" "cl-scale" "cs-scale" "cmx-scale" "cmy-scale" "cmz-scale")
10 0.1487482485376164 0.07378997104704403 -0.02029619268447617 0.0003111473045584593 -0.0001850780490686739 0.0001320566245694382 0.154581632744252 0.07211023349483224 0.0003760444365960327 -0.02115535917762107 0.0002549393550512771 -0.0001620206005433366
20 0.1720147898797585 0.07123337817717448 -0.01623051003879739 -0.0001784781363587059 0.0001778380322160152 -0.001189340184073117 0.177219113613055 0.06883467869280736 -0.0008614952656938031 -0.01740722182419587 -0.0002385113680463167 0.0002061555827914625
30 0.1847485315503555 0.07610559879574738 -0.01730395564480298 -0.000188240591756304 -8.350896006687692e-05 -0.001327745245325789 0.1898516361708558 0.07354451810838118 -0.001148520178054637 -0.01881569417438946 -0.0002819192448447892 -6.038262015691891e-05
40 0.1893053042813212 0.0776506681517391 -0.01716241488350327 1.6340960141864e-05 -0.0001088491859914359 -0.001019454598336821 0.1943423892104328 0.07521847566027441 -0.001124686772001314 -0.01875649452737257 -5.637442701487712e-05 -0.0001094607476750059
50 0.1908611590936196 0.07643738523817779 -0.01624955930308627 0.0002902379092537255 -0.0002178477752205891 -0.0002126406758701495 0.1957791981493639 0.07410238482865911 -0.0005360915855040975 -0.01773395268568492 0.0002671475149422888 -0.0002389919485252215
60 0.1921868686124807 0.07672786144619233 -0.01575487582190371 0.0003129305476800409 -0.0002338210424407804 0.0007546674481875708 0.1969617888272421 0.07424332198203908 0.0003568929056613009 -0.01730326180377427 0.0003355394361144213 -0.0002665650927270909
70 0.1926780663684698 0.0762084063706778 -0.01533877923374197 0.000282980666439812 -0.0003182359870373549 0.001814981907093966 0.1974559354058692 0.07350272897240366 0.001583894170728478 -0.0170272069478637 0.0003051292456930408 -0.0003406876088298359
80 0.1937217955100126 0.07575589718477353 -0.01493406894295218 0.0003917534412355637 -0.0004221035922699815 0.002937728175611587 0.1986202557659756 0.07309396833198357 0.00281272196131003 -0.01660444342281875 0.000431578255442207 -0.000435394675388406
90 0.1945464116447513 0.07625249193877759 -0.01456346691627559 0.0004830771811102391 -0.0004500185634406158 0.003461383139083264 0.1995850389699217 0.07391583154211469 0.003349005627611742 -0.01605141315833682 0.0005499093495830616 -0.0004636343195270762
100 0.1949287460269326 0.0763382084655046 -0.01432525051524359 0.00045826380475977 -0.0003909911263178651 0.003763172230125861 0.2000450747202787 0.07433328517427222 0.00361876560845237 -0.01564189138125193 0.0005470898759834019 -0.000411129492881644
110 0.1952710712116285 0.07568100034979168 -0.01414903759417178 0.0003857856616531112 -0.0002684337713721828 0.003933919793658623 0.2004034540241854 0.07394137179123024 0.003735060991763156 -0.01536485169130779 0.0004876449063311312 -0.000298270148407009
120 0.1957492896159231 0.07542806999122044 -0.01400725412439469 0.0003014927055012403 -0.0001209217740610423 0.003797900523837268 0.200905696667771 0.07392027968062496 0.00351607370842852 -0.01516551743484423 0.0004221387357737887 -0.0001637205849266182
130 0.1967051946244194 0.07538108074453366 -0.01384084625293224 0.000257496534892205 -3.592988975469919e-05 0.003634187572343408 0.2018922230264147 0.07404896615236102 0.003286832492434668 -0.01496086323660821 0.000402377455135776 -8.811368089827026e-05
140 0.1976961462276075 0.0751146328439011 -0.01365242158028219 0.000221252081217059 -9.11146801540057e-06 0.003363607291882583 0.2029036544352137 0.07389543859721337 0.003014570969159796 -0.01474910634522929 0.0003776091859329297 -6.111581816356564e-05
150 0.1980575823971721 0.07509092551552853 -0.01353518918155881 0.0001296020790661464 4.53058031040288e-05 0.002935863711162138 0.2032754418933092 0.07391510914152762 0.002648589821436042 -0.01463063959574651 0.0002707309936447012 2.321918852661513e-06
160 0.1981318057373588 0.07511653380056313 -0.01354592824976546 2.344509483792331e-05 0.0001229748911615522 0.002481252410697193 0.2033446231067407 0.07390038815132921 0.00231030927625609 -0.01466803210537986 0.0001170610851455268 9.627997619720509e-05
170 0.1982635323598053 0.07475756632603191 -0.01361424622784548 -5.399238588177579e-05 0.0001696833189614461 0.001783334728116964 0.2034657188147014 0.07343534546052004 0.001756631229218303 -0.01478565642524062 -2.932769405392147e-05 0.00016317854727313
180 0.1980879755360723 0.07439095174882147 -0.01370004296368746 -0.0001013807674672548 0.0001756970957940132 0.0007813978456454673 0.2032818948090603 0.0729076302973926 0.000876851263374381 -0.01494512811952894 -0.0001381435417731198 0.0001870953620640371
190 0.1976715413605189 0.07411061447927306 -0.01381671876670863 -0.0001305642203361107 0.000156879692154369 -0.0001627066402973179 0.2028683421165523 0.07243198572423981 -5.33509450717702e-06 -0.0151523834710154 -0.0001995321536531865 0.0001785449989981934
200 0.1974007089355629 0.07367955003092909 -0.01392370081447104 -0.0001500315601819242 0.0001301774323591237 -0.0008284573116633223 0.2026161187023672 0.07182712259891062 -0.0006735359090710604 -0.01534252155166418 -0.0002219980611930814 0.0001530983424727636
210 0.1971050236491628 0.07346343397078578 -0.01399162093030117 -0.0001647457803702266 0.00011666897872398 -0.001276010348362652 0.2023492869165505 0.07149102032558872 -0.001158237018617467 -0.01547025263618986 -0.000225609707005168 0.0001352495898882502
220 0.1966963127672701 0.0736028001422664 -0.01405188980273675 -0.0001706681390573797 0.0001191338367195598 -0.001539547088454751 0.2019652014524183 0.07155579945661421 -0.001466784734583036 -0.01556681488973566 -0.0002174640592529223 0.0001314643138037295
230 0.1964884949792962 0.07366778288666391 -0.01412738933702982 -0.0001592893159503506 0.000102142305978143 -0.001587764369239538 0.201774705366461 0.07157845294405606 -0.001561053700220109 -0.01566066116949107 -0.0001911716122884855 0.0001077039692763571
240 0.196401044422239 0.07363505326793456 -0.01418743160630805 -0.0001349916233841454 6.811174385918403e-05 -0.001509360932312284 0.2016993185983442 0.07152958951172875 -0.001531354602428133 -0.01572566571642415 -0.0001483202490658637 6.649560523923914e-05
250 0.1962317475472309 0.0737555643378292 -0.0142339299173869 -0.0001032076105228202 3.831356136068102e-05 -0.001375841887366557 0.2015350842697113 0.07164917680456287 -0.001444701437942771 -0.01576851278645827 -9.531098787844115e-05 2.985412804134698e-05
260 0.1962252224696823 0.07383939858065533 -0.01429597167680126 -6.215302610208168e-05 5.412071867280708e-06 -0.001165239912250482 0.2015282528720285 0.07174066348289976 -0.001268082520602936 -0.01582245800249775 -3.596089641139764e-05 -8.098762207800744e-06
270 0.196341969882898 0.07375738285674037 -0.01434039311306791 -4.421801668900641e-05 -9.4625021515255e-06 -0.001009440687182408 0.2016439503728156 0.07167243117137043 -0.00112627395358509 -0.01585745748307824 -8.218349958013221e-06 -2.525371798703406e-05
280 0.1962552096431555 0.0736753084551222 -0.014327114156322 -5.985399449474518e-05 5.766091766344462e-06 -0.0009396533129011528 0.2015542098402605 0.07160387153756501 -0.001047120087403456 -0.01583553653975833 -2.515546923292009e-05 -9.076031868231689e-06
290 0.1961872728776508 0.07359891830929358 -0.01431186421094026 -8.83439919734548e-05 3.033461062960636e-05 -0.0008672844853077371 0.2014804916423184 0.07153703839912137 -0.0009475249295324846 -0.01581407820908549 -6.521684451556533e-05 1.907098081032463e-05
300 0.1962952723207379 0.07345121388478201 -0.01432165558936993 -0.0001157291277827757 4.399702384928253e-05 -0.0008024690065741869 0.2015839352382001 0.07139675175279607 -0.0008468457165602096 -0.01582066094015764 -0.0001103816333085836 3.773298471767954e-05
310 0.1962775473525852 0.07333713826101693 -0.01430852069029494 -0.0001303950894850231 4.501515828356216e-05 -0.0007669556621790881 0.2015623736207411 0.07128745591840985 -0.0007760476656313096 -0.01580691577095555 -0.00014391249030445 4.390089386265677e-05
320 0.1961882724469316 0.07333073879082866 -0.0142943975581623 -0.0001267852674759688 4.220367382600053e-05 -0.0007400606125269869 0.2014679876592784 0.07128336545064959 -0.0007232600423436078 -0.01579342730205168 -0.0001554850497209607 4.514608666788677e-05
