"report"
"Iteration" "cd-scale etc.."
("Iteration" "cd-scale" "cl-scale" "cs-scale" "cmx-scale" "cmy-scale" "cmz-scale")
10 0.1692489823303107 0.05502320409050396 -0.0008195429830664212 -0.02415345121441314 0.0001413901396397625 -0.0001322362361185868
20 0.2112130908459476 0.06234684436075509 -0.0004414156412265745 -0.01881364526230663 0.0001047427953514982 -4.179035965918718e-05
30 0.2214148548160384 0.07172165795294182 -0.00134763199218983 -0.01846702655048709 0.0002338963520848977 -0.0002721339975948486
40 0.2284567865525653 0.07930571536265288 0.0006873667906302494 -0.01782235758964548 7.599916360609082e-05 -0.0001744585527793045
50 0.2248702869383448 0.07658543997528326 0.0004938889076438697 -0.01395005218652523 9.784099326246189e-05 -0.0002149976214369367
60 0.2191539580217103 0.07370154533066917 0.0002507483508390386 -0.0129468753860519 0.0003243509883423211 -0.0002505858856108586
70 0.2153332021239695 0.07113337874002694 0.002433305805178828 -0.01371790325878023 -0.000105691889057673 0.0008792718014386773
80 0.2128659233175893 0.06729637335660461 0.005279949475935184 -0.01494781172214163 -0.0005886222119833501 0.001493004515875691
90 0.2139554587126138 0.06497875447572939 0.001458943555336606 -0.01483201664617482 -0.0005478343317375023 0.001289301016825008
100 0.214182532361055 0.06393734392168698 -0.002213793828201126 -0.01399061398165863 -0.0005529012725653249 0.0009673569628881738
110 0.2146474172935711 0.0640493126569491 -0.0003686465839778246 -0.01383100657061922 -0.0007519997587478568 0.001041837456130819
120 0.2155166943826838 0.06241962283503567 0.002583926767798704 -0.01436146766661845 -0.001391789272836324 0.001652925846175738
130 0.215588641464374 0.06038675858718153 0.003272997970109996 -0.01448801269902115 -0.001950598472478095 0.002269520184698042
140 0.2141060508831286 0.0591041503049141 0.001006409524580298 -0.01429032409791285 -0.001656681642389861 0.001888568032843447
150 0.2129900254896261 0.05972084836738096 0.00146171525522379 -0.0141382957129912 -0.001243513316707056 0.001329660038228968
160 0.2130220734207924 0.06035173175737089 0.003466599793177007 -0.01386471273917615 -0.001288450483153322 0.001518379835803338
170 0.2134587156783113 0.05997703760005763 0.002776830295787626 -0.013762104910877 -0.001171694680961959 0.001618206597402136
180 0.2133551661234546 0.05980984837203798 0.0006388313120712379 -0.01384152276519524 -0.000740550930194324 0.001152012097738315
190 0.2133326448598928 0.05994581744764436 -0.0009190809152307466 -0.01398848100184088 0.000124532026628351 -0.0002953183536380629
200 0.214023862640902 0.05978866548663179 -0.0002749643060069606 -0.01411086418468273 0.0003356900755415532 -0.0007451090704555088
210 0.214031225055253 0.05882535040695865 0.002152461086906671 -0.01371947620099266 0.0002237029259782532 -0.0006845238598454279
220 0.2144774125726435 0.05830139630569896 0.002222969001366882 -0.01322678116974443 0.0003687217287690415 -0.000872795397354015
230 0.215680396600568 0.05850309539256668 0.002460363071197102 -0.01298987698509626 0.0006907277468663661 -0.001197880576345846
240 0.2163774128496875 0.05898849532763106 0.003892551838420987 -0.01279694369322425 0.0009631657248162969 -0.001364613873946678
250 0.2161957717228059 0.05976783657790915 -0.0005274887382810011 -0.0123077720252894 0.001055934374992911 -0.00162029132141346
260 0.2136971402924107 0.05956632993930402 -0.005391469126486418 -0.01190310498966617 0.001125004603644832 -0.001898166784477878
270 0.2124955372421021 0.05851041257873148 -0.008050666655620948 -0.01199549305477158 0.001058516556019203 -0.001836178340924525
280 0.2126424111016123 0.05908321337997979 -0.009010087808870295 -0.01198589979099375 0.0006944351105143943 -0.001131120706880538
290 0.2127693055604097 0.06063863820922448 -0.009177094756386613 -0.01222361435093483 0.0002927905550544747 -0.0007132302405413655
300 0.2124902521171992 0.06189697031845494 -0.009918310506921312 -0.01261764104498206 0.0002602867410033339 -0.001080177044505644
310 0.2126921284190613 0.0614305374252808 -0.01095988335991531 -0.01309635599112913 0.0008161742340139244 -0.001689340908477715
320 0.2132372675860343 0.0597071163757578 -0.009795137155538524 -0.01354856167473744 0.001197793261484413 -0.002100863963163905
