"report"
"Iteration" "cd etc.."
("Iteration" "cd" "cl" "cmx" "cmy" "cmz" "cx" "cd-scale" "cl-scale" "cs-scale")
10 0.1142911508190911 0.008218355249964776 -0.004174600978865506 0.002985001656972641 0.006584282609504776 0.01843609147474162 0.1563008390515123 -0.01194804794182297 0.0168820968151413
20 0.170459295677981 0.01307495354432284 -0.00666060090605015 0.003921720482019823 0.007562550296253923 0.01486734772564581 0.2387854005059551 0.002223478085328774 0.01597691467068895
30 0.1846308347758541 0.02065629405838708 -0.007736535194170765 0.004732735205009271 0.01186793902722239 0.02043211762488002 0.2434294685709215 0.02015466942350013 0.02148793499350142
40 0.1843385833109532 0.02370079757053222 -0.007865519389369266 0.003732292715911911 0.01146400048567013 0.009370655387360339 0.2457802927981589 0.01786930587676449 0.01154045714139176
50 0.1859476180544122 0.02543409984527637 -0.006962849053936894 0.002831774318460806 0.01275056393563699 0.01568731134552613 0.2413934484953342 0.02485112303990392 0.01739502170630257
60 0.1854236994672874 0.02652049382697404 -0.007563486471094138 0.00277140380109972 0.01151640031215578 0.01783005736524885 0.2388769150399546 0.0228881334706993 0.01995780375266133
70 0.1832159967435708 0.02554426408331666 -0.009037447207289851 0.002903484517604476 0.01079751800355696 0.01819710345855444 0.2364622196050183 0.02256000560649076 0.02061464031651718
80 0.1836575382191181 0.02430885835676341 -0.009508393091289931 0.002598410432391635 0.01096891951680633 0.02116529311728005 0.2369757709391896 0.02096226298204686 0.02356697710198621
90 0.1841171568895735 0.02530117582325359 -0.009870696360336011 0.002396974667355544 0.01119493685149821 0.0227429642242592 0.2372354390486791 0.02214170613343957 0.02505898944137226
100 0.184468823662327 0.02610596937846651 -0.01030062350231764 0.002443287301377611 0.01133230727313193 0.02409055285131559 0.2371945823059291 0.02314241343980105 0.02631526953105717
110 0.1850964731455825 0.02527736330947939 -0.01037476212311321 0.002366714284015219 0.01110444087329283 0.02391734961894595 0.2374230471147478 0.02247008756003961 0.02617931461368032
120 0.1861175923919847 0.02443511217038188 -0.01021770191862615 0.00224849250660738 0.01123272038856808 0.02201454351839757 0.2383343143320369 0.02166863844916276 0.02445454645627587
130 0.187483680858083 0.0239808430079081 -0.01007580369970326 0.00232280145424239 0.01143614090570554 0.01906349808057373 0.2397811243684988 0.02124488478380778 0.02157554169066477
140 0.1888608202687876 0.02383429738573275 -0.01005935923978292 0.002458129090549403 0.01161412326562788 0.01677490970491883 0.2411827624778291 0.02122389067502867 0.01928240253204511
150 0.1899124008286031 0.02425989684603609 -0.01023676428161308 0.002489652105743737 0.01193615620251806 0.01525807197986035 0.2421209162260551 0.02177549572595826 0.01776069261074991
160 0.1901952961547565 0.02470758088171937 -0.01050374441007609 0.002446238237101993 0.01242881917387639 0.01501211495146677 0.2422508410483643 0.02232370648349852 0.01753807594025596
170 0.1898594650737822 0.0248007761249304 -0.01063836940935338 0.002390340178696166 0.01281997189450457 0.01578781542691161 0.2417873251525822 0.02249125194410584 0.01833496794448093
180 0.1892890933214916 0.02480996174511569 -0.01059710291554464 0.002331375022150802 0.01301953522454725 0.01716454902660791 0.2411213144043181 0.02257082273582642 0.01970974556963166
190 0.1887782259001755 0.02488196285972485 -0.01041406584583874 0.00227925448034172 0.01300317871908666 0.01865378704183689 0.2405482713446815 0.02271401053607025 0.0211816937284059
200 0.1885322923776145 0.02494288914441578 -0.01018538751952775 0.002249199205569105 0.01275172654686927 0.0195617476311559 0.2402780008350102 0.02282171381013586 0.02211898989580627
210 0.1885327890074639 0.0252262484858849 -0.01007220438495343 0.002275208136746865 0.01243461270191655 0.01993389250509586 0.2402666800799343 0.02318300849570606 0.02248373673890585
220 0.1885118145099165 0.02563282219903751 -0.0101290684608794 0.002311369646954724 0.01220302150847039 0.02007753777540268 0.2402039626799363 0.02367306080909096 0.02259882291021218
230 0.1882322979173663 0.02581354136689979 -0.01025775628193163 0.002275487385658008 0.01213310950030883 0.02055529567671539 0.2399085752256993 0.02388258283131391 0.0230811659701897
240 0.1879062709273327 0.02584190745655489 -0.01036356441291648 0.002222054605689451 0.012165853335533 0.02142167522448686 0.2396127409529797 0.02394857597551657 0.02392349935910737
250 0.1878134000673703 0.02582747905210121 -0.01041539711631693 0.00220762247957841 0.0121379284556892 0.02176699926594223 0.2395602906458125 0.0240213181609157 0.02424016195676634
260 0.1877254656153412 0.02577549981404844 -0.01043120140080571 0.002229308715498131 0.01200328440954301 0.0213703115435372 0.239556691488597 0.02405902165434208 0.02386866492606663
270 0.187463208137907 0.02583928605179589 -0.01047004650327163 0.002298601847326483 0.0118782362092913 0.02120324418529567 0.2393238835360317 0.02422775439763084 0.02367517839864396
280 0.1873047410642623 0.0258481680433131 -0.01052075365711324 0.002334216397654196 0.01179588820931385 0.02124749462145329 0.2391127903030241 0.02428816259246764 0.02372609563336676
290 0.1872264483787047 0.02582470407584411 -0.01056089110756678 0.002319159531720411 0.01175075645604169 0.02143254384586056 0.2390859384555541 0.02424879424949937 0.02393785262469545
300 0.1873653612987487 0.02596864227116254 -0.01061094788335055 0.002346696233561341 0.01172636287183431 0.02149375591687944 0.2392218618970561 0.02441871641895149 0.02393522605501113
310 0.1874654017161907 0.02599595445806887 -0.01068001249445417 0.002375949409758619 0.01168691904404971 0.02112271655596945 0.2392692786652505 0.02444407975296653 0.02355848998312208
320 0.1873950759176508 0.02593923439825686 -0.01073400387407307 0.002363588762142575 0.01168353362993788 0.02099206980408134 0.2392512965546631 0.02435387079786522 0.02344864581123271
330 0.1875442865377128 0.02597031378612588 -0.01077690206892092 0.002383746650417097 0.01170336098585903 0.02096822672482442 0.2393822367236601 0.0244051938069129 0.02338880643477369
340 0.1877433500475902 0.02587285430506305 -0.01082728554286923 0.002384727584580717 0.01170436231640278 0.02051434877195827 0.2395428740857428 0.02429699831546277 0.02296550868402132
350 0.1877283756891664 0.02579095987386502 -0.01086834634152161 0.002360783475993011 0.01175665945577031 0.0204727531261256 0.2395628125414284 0.02419988550558564 0.02293558214009095
360 0.1876060997888267 0.02578562892042123 -0.01089708960663204 0.002375895776152751 0.01183971688178284 0.02074386764508334 0.2394013424190588 0.02421755353419399 0.02316857598979293
370 0.1874171728194372 0.02561763648482236 -0.01089464795333459 0.002359219274858861 0.01189642318995906 0.02083726922809 0.2392046796037642 0.02402940225820467 0.02328058388308602
380 0.1873955524679399 0.02551922449164981 -0.01083982151526521 0.002340056802475085 0.01190041927914428 0.02062407714267245 0.2392362473337452 0.02391617744909328 0.02307577778412692
390 0.1877474727270601 0.02560169755235706 -0.01076639297203792 0.002367451047090737 0.01185842881458885 0.02008388842407908 0.2395275176849014 0.02402813281134727 0.02251567086631206
400 0.1877952758363592 0.02561894154386044 -0.010746119137852 0.002363495578912349 0.0118105302829454 0.0195965489756547 0.2395811909387381 0.02402136949010181 0.02207686353483532
410 0.1875941381426967 0.02572348240878689 -0.01078183332226397 0.002357013983602035 0.01184996081504439 0.02018929983507841 0.2393972240506688 0.02413279494378967 0.0226499621375923
420 0.1874815171334558 0.02575149248286229 -0.01081819378950032 0.002361797768024144 0.01189361925523809 0.02078450412469702 0.2392536654759911 0.02416312194673628 0.02323423317790637
430 0.1874819207142256 0.02567007194362919 -0.0108387759268654 0.002353722375364809 0.01192608143136857 0.02094214211905714 0.2392726101186407 0.02407037354074363 0.02339398362621484
440 0.1877454343104812 0.02568117933426513 -0.01083099197550593 0.002356475383580318 0.01190672820104338 0.02066823228307796 0.2395458197327182 0.02408740475785012 0.02311260702587786
450 0.188160456907162 0.0257018560307504 -0.01081232996594734 0.002383685389487568 0.01185917144159507 0.02004386941428586 0.2399180269177935 0.02412316449242902 0.02249282073512363
460 0.1881261985613835 0.02562411028683157 -0.01081343600786483 0.002383668459569741 0.01184681241449218 0.01974292530360854 0.2399078413764946 0.02402795730940816 0.02222298585677214
