"report"
"Iteration" "cd-scale etc.."
("Iteration" "cd-scale" "cl-scale" "cs-scale" "cmx-scale" "cmy-scale" "cmz-scale")
10 0.1531420914394414 0.04892096121048525 -0.0002407180052549766 -0.02222734381129893 9.739957447998002e-05 -3.619774935976686e-05
20 0.1835344518845022 0.05476125742246658 -0.0001254132369738976 -0.01526474708259803 0.0001591687640046783 -1.000932753527e-05
30 0.1815471241542088 0.06551783651207257 1.668804669161598e-05 -0.01679455386541822 0.0002571718342739983 -1.272794040840529e-05
40 0.1777115044269904 0.05755261008827835 -3.607126776211211e-05 -0.01619799133459192 0.0003866550242960182 9.1528615408681e-05
50 0.1771845231693422 0.05538286041558449 -0.001124134680421191 -0.01569002537169183 0.0004622856338906894 0.0002394985741483091
60 0.1754106433090717 0.05357444544146633 -0.001749769967351261 -0.01548908950662078 0.0004904606163265053 0.0003640393309041274
70 0.175505682157161 0.05394121555046875 -0.001413394317905794 -0.01577137589012035 -4.546340424911639e-05 0.0008550493411305736
80 0.1740310058463287 0.0536992463469925 -0.0005501517411394914 -0.01521613143640556 -0.0005139664791004837 0.001111575774305135
90 0.1727030201981001 0.05104269219190633 -0.001704110737462351 -0.01367973220502331 -7.946029931154185e-05 0.0006339133838766183
100 0.1729142871292596 0.0493655076106831 -0.002132218363813353 -0.01275637992571356 0.0003960396192246957 0.0002739252439866385
110 0.1731907327252114 0.04926592481552662 -0.001036265443456961 -0.01245522024403001 0.0002590677801739053 0.0003460156924863635
120 0.1730277151479531 0.04960620939533992 -0.0009318726705545093 -0.01222825916103554 0.0001482012420214094 0.0003119511483041787
130 0.1725003466983159 0.04889714412547419 -0.002344671001335847 -0.01209598888525725 0.0004045991663336628 0.0001393284579822685
140 0.1725893067400988 0.04836688713074935 -0.001429464814112524 -0.01193881016598559 4.919222297924805e-05 0.000730595245570515
150 0.1729932318468259 0.04814958253043146 0.0007868704844407858 -0.01171674964953677 -0.000559679724573333 0.001378909586393778
160 0.1733565904309655 0.04809504584704824 0.002179944319324841 -0.0113115511006802 -0.0008867517224756541 0.001558190819150131
170 0.1733782454269829 0.04850470462879537 0.001469250347557798 -0.01087527359438576 -0.0006171403458188828 0.00116408430014536
180 0.1732713270889173 0.0488190206759496 0.0007220009602193428 -0.01071856230606315 -0.0001632713132184942 0.0008443306629130827
190 0.1736501564887085 0.04888535103463779 0.0005167021440038001 -0.01066551633248816 1.145560859904179e-05 0.0008334049299027904
200 0.1743934409620712 0.04900040598968774 0.0001531418564318925 -0.0105416901616269 2.698501175450274e-05 0.0009082733708226585
210 0.1747799860904846 0.04893538480879744 -0.0004403630060882176 -0.01056872412377054 2.365250709240236e-05 0.0009536970225958927
220 0.1748861674709024 0.04882135477552073 -0.0008233602822287683 -0.01071247950417745 5.908920608652309e-05 0.0009207865100778741
230 0.1749487856220054 0.04874344578853652 -0.0005546974856002857 -0.01083515769920127 5.656813172941914e-05 0.0009334762567788476
240 0.174884628779996 0.04863710989621653 0.0001446506594416669 -0.01089114205102625 1.044546323967986e-05 0.001016986474973733
250 0.1747176438331516 0.04839890835853099 0.000589338521481836 -0.01095693311748499 -6.382435416473159e-06 0.001084390349856946
260 0.17448635131912 0.04835315634089916 0.0002826759901430571 -0.01107619405711807 0.0001124878184692519 0.001043299920497553
270 0.174552559240724 0.04884553778138261 -0.0003110425039770344 -0.01111844338939063 0.0002125240664073643 0.001064749129331199
280 0.1748871336011875 0.04941749775656379 -0.0009638531456279744 -0.01104552556376634 0.0001883919117214089 0.001143723706516119
290 0.1754321885853963 0.04950526158432686 -0.001505935574793861 -0.01091830859346852 8.92812709016216e-05 0.001189865607595639
300 0.1759508669806172 0.04933271418377265 -0.001376403124215805 -0.01080336261021136 3.409922015489328e-05 0.001135277618058994
310 0.1761075305779656 0.04917449987637517 -0.0008988008712340578 -0.01077685634744281 0.0001098441257177169 0.001014601298123459
320 0.1758933956736608 0.04908702757176152 -0.0007056571297316159 -0.01086240564903421 0.0002339107381336435 0.0009084624994367028
330 0.1757287227573661 0.0491419890013193 -0.0005887158354379723 -0.01093328864315411 0.0003330245700811501 0.0008367570022685359
340 0.1757044862492164 0.04916440481269269 -0.0005463760969191513 -0.0109675405788693 0.0003743459257924664 0.0008023623556068402
350 0.1758944954319351 0.04918772656500629 -0.0004775299988419017 -0.01097067080756763 0.0003496420339019857 0.0008136189849827661
360 0.1760858126294381 0.04916542336878151 -0.0005070702128877318 -0.01097018260436751 0.0003036952269871465 0.0008612179947896673
370 0.1761056207618368 0.0491302763565324 -0.0005603675211967359 -0.01097364007199966 0.000277665428638869 0.0008973350757051034
380 0.1760545619272212 0.04910385796471785 -0.0005025814394838701 -0.01096186413791523 0.0002963524753966327 0.0009180054210456284
390 0.1759874351029886 0.04902666475729382 -0.0001965789001181315 -0.01098317825602496 0.0003654891371634931 0.0009502629758384405
400 0.1757412067583088 0.0488155273800222 0.0004080156575363943 -0.01104812203378086 0.0004133751216457334 0.001018478666059337
410 0.1749926730941895 0.04868139968935752 0.0004793216429942141 -0.01111159050475981 0.0004582852011949274 0.001051614228830903
420 0.1744450839889812 0.04896880062287659 -0.0003407664503624889 -0.01105592931578805 0.000529497276469608 0.001020351773633593
430 0.1746627080378545 0.04956348112162665 -0.001654952600449443 -0.01089989828310383 0.000740027570263391 0.0008441825447847731
440 0.1750647311599915 0.04981995261112018 -0.002673395226105709 -0.01079918391956903 0.000933360276803922 0.0006587570149419701
450 0.1756866396897466 0.04986611090063707 -0.001743759439630326 -0.01072564920383665 0.0005893295635657492 0.0008663508882573203
460 0.1764441173405018 0.05001827915336749 -0.0005535943537859118 -0.01057608998478673 0.0002365009651929225 0.001015597588479208
470 0.1769003048081041 0.04989560691040489 -0.0008527765725668094 -0.01049570982095987 0.0003715366230160725 0.0008064302341254304
480 0.1769082117100899 0.04958043581958355 -0.001973477224168815 -0.01053327689976056 0.0007544856296620101 0.0004613558193227093
490 0.1765838726856854 0.04927907568580694 -0.00247631821227516 -0.01063405669445349 0.0008933715974476547 0.0003311946732816108
500 0.1763860938838542 0.04922352247268988 -0.001756656479274618 -0.01065860409139934 0.0006168822539468817 0.0005215421836445276
510 0.1766013869259495 0.04950600323797013 -0.001095265336438854 -0.01056180683799485 0.000330223468824484 0.0007259602328193284
520 0.1768905523868643 0.04965996959579159 -0.002043657134819445 -0.01054130584310676 0.0004200993945725918 0.0006610631490201693
530 0.1770018203591669 0.04940852715421434 -0.003699258358398004 -0.01062440696891332 0.0006755742303661133 0.0004504391513527144
540 0.176921968949329 0.04915635269738616 -0.00501072896295734 -0.01076212794172539 0.0008245416706987287 0.0002429332082166763
550 0.1764798053752145 0.048524405184181 -0.005598965913112657 -0.01096119347597867 0.001054314716719835 -6.602431931580251e-05
560 0.1759969936529444 0.04812930308860334 -0.005777081856607504 -0.0111066222831558 0.001328512466772689 -0.000244522083214451
570 0.1760192818807192 0.04823370193418962 -0.005633556761703857 -0.01108586294326775 0.001345789800928859 -0.0001699026799243058
580 0.1764413442499173 0.04891452215015609 -0.004590142903976681 -0.01087742447711344 0.0008990763479993471 0.0001849502380854243
590 0.1771043522917087 0.04956086701347018 -0.00365411566024392 -0.01065198449685431 0.0005118214366214033 0.0004012193518636125
600 0.1777087079295434 0.0492312757419735 -0.004347702743683696 -0.01062810101963942 0.0006491618980360889 0.000194724123815978
610 0.1776374252804688 0.04853634453732469 -0.005188039547676012 -0.01074802677837923 0.0008042572724023653 -2.283290125521786e-05
620 0.1769564529925654 0.04790695674682476 -0.005095384050230872 -0.01089095299950885 0.0008634717144818913 -0.0001187487346950373
630 0.1764541002186056 0.0478668302895287 -0.0051756521662877 -0.0109021269066225 0.0009514389725852401 -6.716097374650453e-05
640 0.176187290362354 0.04837758092873883 -0.005062412554056 -0.01085884690249894 0.0008463833785409347 0.0001168224848801095
650 0.1760554197436439 0.04893566689268982 -0.004479929312327841 -0.01084956097191797 0.000547700629024632 0.0003668519496515143
660 0.1761090883613972 0.04915295408579955 -0.003768789711110215 -0.01083984094986929 0.0001241418617257107 0.0006672185104498259
670 0.1761810413239616 0.04880527534155026 -0.003243501378601369 -0.01082487616105729 -0.0003487220454475063 0.0008661736697548073
680 0.1759054966598269 0.048366908469466 -0.003181972724504328 -0.01088070225785101 -0.0004141817518213083 0.0007587404802599464
690 0.1757957118988353 0.04866719954920005 -0.003584026549376277 -0.01076540093960266 -3.920058909319562e-05 0.0005466086857233152
700 0.1759748894514188 0.04972283751312218 -0.00279609407443221 -0.01048295250385636 1.062733217104247e-05 0.0006321157318902135
710 0.1761936459415785 0.05006507268874608 -0.003069525913340801 -0.0104110876153795 9.524155503622741e-05 0.0006129770251522266
720 0.1767466874458551 0.04982542446465911 -0.003551679961682371 -0.01046220782248749 0.0001792071519884556 0.0005496174880533686
730 0.1774519624907478 0.04960309540098664 -0.002552083394787574 -0.01048372788211842 -6.61769620898848e-06 0.0007053663128313213
740 0.1779405433886193 0.04927276750444288 -0.001033122116066271 -0.01049162209067679 -0.0003567652643643182 0.001034393423827718
750 0.1778960740033042 0.04842239764661069 -0.0006671610574630721 -0.0106428051824655 -0.0004475287047160078 0.001229343972594131
760 0.1771640085090444 0.04750683704844647 -0.0006799307482925279 -0.01084578222483719 -0.0002551569850269136 0.001238288734856222
770 0.1765120645446763 0.04740072636354792 0.0003665154272732894 -0.01095237874721529 -0.0003560162476219633 0.001489455432801469
780 0.176263798558554 0.04800107094640427 0.00132081039519875 -0.01095507605328848 -0.000674985096872866 0.001792995494787691
790 0.1760845167362855 0.04854115604582425 9.19261693853693e-05 -0.01092586180322457 -0.0005177384476802789 0.001559978178392221
800 0.1760335916102027 0.04883690808856596 -0.001293647465833534 -0.01095291568585157 -0.0002075162704149229 0.001129167029460542
810 0.1760898057075667 0.04914925234105306 -0.001776617967068587 -0.01096267321249052 5.523931063308102e-05 0.0008575760278373481
820 0.1761761359691907 0.04949135008465899 -0.001554428909409365 -0.01092266520347904 0.0001595527352966885 0.0008171116707794383
830 0.1762426405113097 0.04954888976722033 -0.0009946005868460117 -0.01086339126416577 7.847938026818195e-05 0.0009268896425680186
840 0.1762792094727016 0.04933871137317284 -0.0008030157156643789 -0.01082815272256778 1.653725437949887e-06 0.0009686662456824897
850 0.1762740895589654 0.04913252265550922 -0.0008793408402170299 -0.01084946080167531 6.174593613986879e-06 0.000922072720072094
860 0.176185205678548 0.04907779843475048 -0.001030952196206203 -0.01090302238708228 7.848660227323323e-05 0.0008502961522002492
870 0.1760692985694793 0.04915462749705447 -0.001210829088287007 -0.01092956299669884 0.0002297739796573392 0.000775122356548507
880 0.1760898632860635 0.04932667451081962 -0.00138208154888388 -0.01095366129389125 0.0003628930093449669 0.0007540896423757321
890 0.1761871535025725 0.04943619787405591 -0.001503460473167656 -0.0109867999970813 0.0004147524807182307 0.0008029270699814837
900 0.1762608439720156 0.04941454721489812 -0.001567779256011859 -0.01097615138039608 0.0003827315633092963 0.0008692660297214681
910 0.1762637921344084 0.04934415272372914 -0.001473502100552849 -0.01090225234314371 0.0003663557922839093 0.0008820235441648987
920 0.1761924865219213 0.0492562593646905 -0.001262405314350943 -0.01081269874177925 0.000365312399289906 0.0008485921958420369
930 0.1760557650963164 0.0491555036434523 -0.0009509096896244035 -0.0107814440883168 0.0003971085865192578 0.0008046657217534343
940 0.175872311999574 0.04914487017361766 -0.0006895247941032135 -0.01081234001740084 0.0004593195570779009 0.0007767030085131427
950 0.1757264814898402 0.04920461567686147 -0.0005197906413181986 -0.01087450336042341 0.0004924018423075997 0.0007703875966120956
960 0.1757417906855595 0.04924861751833585 -0.0003601261267122365 -0.01091867449208228 0.0004609061981185065 0.000789716865010179
