"report"
"Iteration" "cd etc.."
("Iteration" "cd" "cl" "cmx" "cmy" "cmz" "cx" "cd-scale" "cl-scale" "cs-scale" "cmx-scale" "cmy-scale" "cmz-scale")
10 0.1287405475113778 0.05317245626141544 -0.01321970547027376 0.0003779765867432354 -0.0005975915824957436 -0.001571831191944822 0.1354216063735346 0.05047209314729943 -0.002766916067606289 -0.0137876173341444 0.00051679552720301 -0.0007823928315929873
20 0.1935586115126299 0.06094405703264327 -0.01580651137560563 0.001154621426197626 -0.0009905707436562144 0.006318920755502424 0.2008398359247797 0.05993460193157731 0.004465879747388535 -0.01635213066879317 0.001836515063827913 -0.001375463542556915
30 0.2191129537128718 0.06852866532867823 -0.02019655233571936 0.0002501986913533769 -0.0004340228800703265 0.007839050533816319 0.2256747471464793 0.06713374115176761 0.003509552784451733 -0.02130625891028813 0.002033676010331254 -0.001395295675537518
40 0.2286568331855889 0.06813357313855385 -0.01945693825554088 0.0002799640905221609 -0.0005096716299345534 0.007464684395495547 0.2349651495780733 0.06629613925947078 0.004035811111757456 -0.02101759822448834 0.001605708647033084 -0.001261209368791971
50 0.2335747440051617 0.06491460080763367 -0.01755396247389336 0.000133817690653 1.217054174654911e-06 0.009001139098171688 0.2402340649030217 0.06355684985351989 0.00700410331576319 -0.01905077751854372 0.0008142546497349821 -0.000416845370478275
60 0.2373954222389594 0.06494465063877114 -0.01695485359543752 -4.64615843395583e-05 0.0004015431531656447 0.01103090368649149 0.2443075771911855 0.06389886430442342 0.01054586214449879 -0.01827649721697652 0.000119319900966176 0.0002835249378547472
70 0.238027484334483 0.06779027600415033 -0.01728496887122802 -0.0001555250138211265 -2.594845405143272e-05 0.01028926956061131 0.2448744851822239 0.06699720594158219 0.01082198987723831 -0.01851758775233078 -0.0004681222655463804 8.329326553259549e-05
80 0.2373525348328963 0.07038391143920864 -0.01652975094142663 0.0002242290566317248 -0.000319331558805866 0.009184133339692258 0.2438914442806805 0.06964694976691117 0.009407202235938422 -0.01786650693710625 0.0001334700948623352 -0.0003084121637766116
90 0.2368982510517496 0.07027236878556951 -0.01558700331228949 0.0003999432870138203 -0.0002678564656144009 0.007780286630888924 0.2433175547403887 0.06934279833001436 0.007693996778881435 -0.0170518172396701 0.0005449464751238409 -0.0003351862193484886
100 0.236358757082001 0.07009777629459144 -0.01458745251001509 0.0005739459324186127 -0.000721556652955102 0.002705676287501358 0.2429794332710556 0.0693343791579009 0.002943558157439734 -0.0159883217075019 0.0005874351985145837 -0.0007064397721606217
110 0.2358737918407187 0.07023984811101007 -0.01416663960959927 0.0005941088594335631 -0.00115564828698516 -0.0002863954344900316 0.2425869234851823 0.06975221448244151 0.0006764114097354243 -0.01537866990383267 0.0002905403668743899 -0.0009645600186033711
120 0.236170104647777 0.07023789634278241 -0.01407859213032277 0.0006927781696592774 -0.001535054742239062 0.001292674290724993 0.2428720351683716 0.07001624363748084 0.002429908687151522 -0.01508464915143073 5.023318151335701e-05 -0.001226025256115481
130 0.2352475323879832 0.07011420278221897 -0.01454576058485598 0.000667100838954465 -0.001624322806608788 0.003583790251071792 0.242065329997722 0.07022545393579903 0.004550091636304553 -0.01538210196982292 2.009105351120891e-05 -0.001338662187036858
140 0.2336882394267564 0.06965376753055187 -0.0149121263478018 0.0004512586366051739 -0.00136470832064397 0.004317075796426159 0.2404289573615163 0.06990053651946826 0.004605130038071934 -0.01572933419262695 2.538798139271428e-05 -0.001212265743968111
150 0.2323619492498342 0.06901691652351044 -0.01510022078511804 0.0005545106380622755 -0.001403636127138229 0.00387637943474639 0.2389394070653005 0.06916411715553983 0.003872045900820048 -0.0159989452339367 0.000163774410933405 -0.001293486218800899
160 0.2313916758418889 0.06873858042369443 -0.01515542248091101 0.001123250219116764 -0.00212944125036879 0.001359751818925488 0.2378711453089576 0.06878339298725626 0.001291807441882729 -0.01608861603786308 0.0008313489576209813 -0.002056944129362766
170 0.2309752298627153 0.0695312020368626 -0.01505371325212635 0.00142178396878573 -0.00240253206730455 -0.0003280837804924096 0.2373895900726397 0.06956650761504478 -0.0005642998312981764 -0.01598220325125451 0.001306721767982193 -0.00239855533856944
180 0.2304568445257723 0.07014586010347203 -0.01486295760770733 0.001199219587677607 -0.002022546034798686 0.001055492284225273 0.2368413001834418 0.0701804754589051 0.0003758555102340561 -0.01580669700069451 0.001324473327145502 -0.002128607601224037
190 0.2299150919866575 0.06972943766848377 -0.01445715289298729 0.001042695413663162 -0.001608011140688809 0.002903050387779044 0.2363507447955041 0.06970083875793469 0.002120739556758988 -0.01545177040053634 0.001265401883354282 -0.00175501993981222
200 0.229498429164332 0.06976817427006306 -0.01418550277224481 0.001012692457983935 -0.001502351991554024 0.003556045730698133 0.2359661854561951 0.06951881712418193 0.003368431928855239 -0.01529859154981082 0.001057738497209527 -0.001537097262828633
210 0.2305064273495364 0.07018361122786362 -0.01399137241316515 0.0009191559168020303 -0.001547275304758453 0.004616746853936806 0.237036284589615 0.06985222180944227 0.004948530477924721 -0.01519631504067345 0.0008065685470731372 -0.001489348841230107
220 0.2305913409556296 0.06967152422110788 -0.01408373393830654 0.0008422729602618398 -0.001512872019944529 0.004420805352406875 0.237132379452866 0.06938112005615611 0.004977422829442442 -0.01531153675523838 0.000675934594786595 -0.001417700714064662
230 0.2307106524246855 0.06987360110915783 -0.01419251244854793 0.0007582934051464352 -0.001425592710583491 0.003238388558929452 0.2372449899490809 0.06959201842354859 0.00358446110914 -0.0154236458240841 0.0006641164954112788 -0.00137156317006877
240 0.2301091723425004 0.06972452596233285 -0.01445152816918304 0.0008234672936517507 -0.001554928290864385 0.001572815640040029 0.2365293572405019 0.06932729299260935 0.001794879894991421 -0.01571805131148581 0.0008134589486809595 -0.001535067005531325
250 0.2301599961452397 0.06941790126243455 -0.01458410127461917 0.0008778311239864645 -0.001757153614552074 0.001166239303984373 0.2364794224636595 0.06894673537761731 0.001187596839176007 -0.01589206214373416 0.0009366689908007694 -0.001772528126591396
260 0.2302102359669757 0.06943114476099448 -0.01465892659017149 0.0008676568451567545 -0.00184277496038341 0.001527710651332977 0.2365316152770345 0.06890583804531868 0.001261602482976432 -0.01601287515600373 0.0009995881234946399 -0.001902800104270507
270 0.2300721313306162 0.06898891067884724 -0.01472654199679088 0.0008107463140633735 -0.001843657912457075 0.001989850804544333 0.236376869144101 0.06831891178006197 0.001772131734286666 -0.01613861008072686 0.000952747453897869 -0.001904506523528255
280 0.229655060333007 0.06796551660386112 -0.01485385763928738 0.0007858943422717092 -0.001824589272756989 0.002352831326945515 0.235935499355632 0.06714269219690325 0.002300577099803131 -0.01631604102804794 0.0008682064877342206 -0.001853663789593358
290 0.2295705209788825 0.06773293452543566 -0.01500202773820969 0.0007179831292055876 -0.001835835100250489 0.002890475413838636 0.2357855220102235 0.06677939557227523 0.002903909966928021 -0.01650939948920319 0.0007648356235282834 -0.00184636663554252
300 0.2301579692837197 0.06806964832389711 -0.01498748390399687 0.0006633454668925732 -0.00189709169034096 0.002605477233741056 0.2363719542430531 0.06714601473549393 0.002487919179931169 -0.01650073743897315 0.0007469247283570972 -0.00193143113091841
310 0.2306208442738433 0.06811873406901037 -0.01490750383230961 0.0005304980810661109 -0.001795358261194371 0.002404343017250211 0.2368861408392813 0.06731176274326653 0.002295009352094594 -0.01640903234387687 0.0005922514331486964 -0.001821014833141331
320 0.2304305460230193 0.06804052145582025 -0.01487585221798386 0.0001825064181126113 -0.001296446097967323 0.002639599919202955 0.236704355619155 0.06724330068816989 0.002683021182076895 -0.01638823387018588 0.0001842569709220192 -0.001286498914491104
330 0.2304318375591886 0.06818014299583938 -0.01495392124807199 -6.716288703464557e-05 -0.0006657326102610865 0.001687323253081772 0.2367081213956346 0.06739647111699389 0.001845398249208566 -0.01646832531011333 -7.725016716827573e-05 -0.0006377505974836066
340 0.2309654834632929 0.06836314359630027 -0.01501426045119337 -2.858915123431659e-05 -0.0004602886550720917 0.0002285232869054205 0.2372683046166524 0.06762931354793829 0.0003410573886029469 -0.01651806182424843 -1.072663562342027e-05 -0.0004433685982408893
350 0.2315191445650199 0.06836181845252605 -0.01502619264764741 0.0001263321528526044 -0.0006394761086449672 0.0001765628103031345 0.2378397172499925 0.067672612921898 0.0003066342209916709 -0.01651733943516539 0.0001169346456213264 -0.0006161053737913127
360 0.2315531723137833 0.06888490662783983 -0.01516198943340364 0.0003323271764263698 -0.0009512459353275893 0.0009215124345562194 0.2378456240602783 0.06814868189651435 0.001126597113754804 -0.01666415350822178 0.0002893023116312584 -0.0009157054414418159
370 0.2316228217702026 0.0693826897384526 -0.01521298265655178 0.0004632138398437799 -0.001066588416990119 0.001642020289353028 0.237876820469363 0.06854733843117926 0.001852886702556467 -0.01674201474288132 0.0004369200667327049 -0.001039844657169868
380 0.231751203306556 0.06961973162509595 -0.01532528242985569 0.0003372109451780874 -0.0008328084269578486 0.001769179518821054 0.2379841188160805 0.06868108564373455 0.001885498509446091 -0.01687438358201569 0.0003712471441825707 -0.0008343397347659222
390 0.2316765698215595 0.06915416565998649 -0.01531573285450796 0.0002722816691346684 -0.0007856100567495696 0.0007349486029775612 0.2379050913628782 0.06812787814953176 0.0008418179275011231 -0.01686713659959931 0.0003321436623244854 -0.0007946900018182625
400 0.2312112094879114 0.06828780506650364 -0.0153881188439918 0.0003226542153082146 -0.000983574358236178 -0.000396684795961174 0.2374377444231406 0.06722636981639281 -0.0001587390027804643 -0.01692986078144546 0.0003097713063106801 -0.0009543683390132404
410 0.2310639463877054 0.06777860074659436 -0.0155570435321758 0.0004704623687997027 -0.001366455332673603 -0.002087971597574771 0.237311288997409 0.06677138836448768 -0.001469320918260455 -0.01708308762611539 0.0002583916504932487 -0.00123927970642476
420 0.2314453818442063 0.06824444586381144 -0.0156355850793917 0.0005439023970145435 -0.001645431709548516 -0.003509233113794761 0.2376857727605493 0.06730479359746867 -0.002369753692650711 -0.01716412922051612 7.441195227340008e-05 -0.00139157596585821
430 0.2322685028333097 0.06893815126693092 -0.01551465470940102 0.0004941767864097785 -0.001697665246155314 -0.004215603288565276 0.2384730748665359 0.06809689672197208 -0.002772709531279748 -0.01702978597888903 -0.0001211867397459158 -0.001371280622187048
440 0.2327284281074788 0.06950573676083081 -0.01535745271998967 0.0004462030662984317 -0.001716800062756875 -0.004750346087343684 0.2389006760148939 0.06873693281699904 -0.003329530874929533 -0.01685641861184107 -0.0001618600279087298 -0.001393559962652312
450 0.2320696137064573 0.06990720393023189 -0.01545304540456427 0.000379978308987776 -0.001575634449004783 -0.005051732556351446 0.23821134975516 0.06915832853244923 -0.003974993142556955 -0.01694133677118308 -9.171010088775005e-05 -0.001327227251388832
460 0.2320306384888026 0.07025635560410841 -0.01546539461816112 0.0002531880949731835 -0.001263550188354444 -0.004782041262070445 0.238138554374182 0.06948380290934313 -0.004128148380401211 -0.01694227499546232 -4.966350004502022e-05 -0.001107760106879183
470 0.2325741458608681 0.07041214324778984 -0.0155592343312996 5.497936569457615e-05 -0.001013007690293254 -0.004117961914910885 0.2386729280390922 0.06962610287045107 -0.003918497870069988 -0.01701683316143584 -7.6729882684027e-05 -0.0009545197240070685
480 0.2330486371047458 0.07063312350270848 -0.01561823930897817 -5.281030662399843e-05 -0.0008874696602464853 -0.003755378978620511 0.2391656572072404 0.06983372040818589 -0.003948468004642515 -0.01706727723597382 -2.949209116320124e-05 -0.0009180399256223819
