"report"
"Iteration" "cd etc.."
("Iteration" "cd" "cl" "cmx" "cmy" "cmz" "cx" "cd-scale" "cl-scale" "cs-scale" "cd-scale-avg" "cs-scale-avg" "cl-scale-avg")
10 0.1245327163804651 0.04405971485231384 -0.01408039306239953 -0.006011828908862703 0.005822231894398773 0.0342015292905544 0.1277016809262387 0.043635010911617 0.03614612056193527 0.3632426049723426 0.02369231421524692 0.1050730373708306
20 0.1496930528277377 0.04168611826005209 -0.01476341358475124 -0.001931846118585171 0.001824326062953561 0.0101116004923535 0.1534308150107853 0.04115366489075312 0.01162532778271819 0.2537980448899087 0.0229483311237229 0.07331246135403571
30 0.1625786869152604 0.04706307541100567 -0.01328300904571444 -0.0005523166846857997 0.0005820904030186239 0.0004983283469790158 0.1660380722473217 0.04712924408874763 0.0003419328182466947 0.2228980263818292 0.01661045104991691 0.06356270981581651
40 0.1658646461126843 0.05474204245702239 -0.01291083501089561 -0.001219848567706711 0.00116827519397718 0.004438046959905274 0.1690184409789146 0.05459064596008027 0.003882465796362932 0.2091857108098751 0.01291701547172097 0.06050167660542555
50 0.1685427692814803 0.06033731585781282 -0.01403021855807271 -0.0007964982035142876 0.001008998383909242 0.00348258157973684 0.1716405955522917 0.05891412628066899 0.003563632594024029 0.2014336244571046 0.0112629843697503 0.05985508620305808
60 0.1696436912148393 0.06203027607631249 -0.01459013924836389 5.883873086014348e-05 0.0003876020631522098 -0.001617253348344574 0.1730817699055749 0.05948064335303023 -0.001992785022814656 0.1966193211063787 0.009426181474155906 0.05980348992534879
70 0.170392757143475 0.06093482663950664 -0.01449155033457242 -8.662544269816066e-05 0.0003386265323321693 0.000339551879401011 0.1742977082872735 0.05779557132435222 -0.0008160888120253497 0.193347954724658 0.007817938292723259 0.05960762513923805
80 0.1719230469540708 0.06213991910520541 -0.01418068007181159 0.0002267637796536887 0.0002450943304989719 0.001626147347445239 0.1760614386504071 0.05926394282076909 0.000881809284582975 0.1910961807280923 0.00689403271499583 0.05947021644938796
90 0.1722841575491628 0.06184715684463913 -0.01368486653063664 0.0003732951724142688 0.0001561360488586729 -0.0001464970415269945 0.1764169615980387 0.05919851831986265 -0.0009236198378075146 0.1894572986155661 0.006127948614042374 0.05946505892800708
100 0.1724587832763141 0.06060245601078335 -0.01295351015557657 9.56568328433724e-05 0.0004480391610726102 8.251852999226377e-05 0.1764803097334015 0.05771946411978479 -0.001300233235759978 0.1881539641118797 0.005379642739741402 0.05936053620949184
110 0.1729665490865352 0.05961202894826657 -0.01260792113383439 -0.0002017604962289284 0.0007085033245237012 0.0003161208222244963 0.1769754649810729 0.05629278791319681 -0.0006881593965430724 0.1694980774887377 0.002921232392665362 0.05454457330575704
120 0.1735867335738399 0.0580777570095662 -0.01256795569873127 0.0002616341008944857 0.0003396479628817171 -0.001502368507088292 0.1777099958584571 0.05456771123746222 -0.001673175505979127 0.1728086028773899 0.0005950537042046185 0.05592663123927349
130 0.1733459479827106 0.05669448217628105 -0.01249890289667743 0.0008672023556277829 -0.0001729583567014067 -0.003827820614991332 0.1776110672414741 0.05286234223656876 -0.003525931119439826 0.1744628149534392 -7.669512934961301e-05 0.05688609967182115
140 0.1738187005933581 0.05543651903676997 -0.01228405876998143 0.001007782202271428 -0.0003064780434075972 -0.003809894446632455 0.1782504055417108 0.05102656764324227 -0.003622468303376783 0.1754494119497694 -0.0006304836193539013 0.05692839025525093
150 0.1747465981775897 0.05590166284470403 -0.01222481517357992 0.0007487981267199889 -0.0001463749620113949 -0.001173382713649889 0.1793422821437758 0.05088469172505609 -0.001728834247230045 0.176286664232761 -0.001372846385431239 0.0562925629515561
160 0.175442933847594 0.0559819855374362 -0.0122332661290273 0.0006173999953672563 -0.0001228720025760679 0.002540235307637669 0.1801304679706822 0.05070357288246295 0.00109913464026675 0.1770224016056132 -0.00140909660313272 0.05541194950447302
170 0.1753728063474326 0.05618259339712797 -0.0122249158954411 0.0007447780502265842 -0.0003931163651825174 0.004704582216124934 0.1800700004195712 0.05078059804067923 0.00303567812342808 0.1776557632985117 -0.001001862609966283 0.05464841297669782
180 0.1757526956366271 0.05611388816869893 -0.01217609278203251 0.001006293153787913 -0.0006619819068844703 0.005187632195485482 0.1803583412109911 0.05020825808692426 0.003841318196359462 0.1781467703432577 -0.0006824369859849462 0.05383892444329436
190 0.1757868574829007 0.05694558330448195 -0.01213547810268165 0.001199894396854736 -0.0009023837129749191 0.003843036661852681 0.1803743239269192 0.05083857236095271 0.002607595559319186 0.1785484562997008 -0.0003493747121432781 0.0529476555127997
200 0.1759579313352728 0.05774951140935143 -0.01208403146674474 0.001567877280572555 -0.001325252267857351 0.001434115976685568 0.1804855266628479 0.05188041917928289 0.0003901040152435531 0.17894937758197 -7.94820959942919e-05 0.05223963505682146
210 0.1762368700746105 0.05878200578232125 -0.0117368871241885 0.001475538989689037 -0.001352999885768187 0.0013364831062823 0.1807515404866356 0.053244562629721 0.0004286168660764328 0.1793407563618264 2.529616780512864e-05 0.0518171916091753
220 0.1772705533648847 0.05955363422144279 -0.01132991544746342 0.0008870604004420087 -0.001066343070426567 0.002630125824254446 0.1816432797581976 0.05405019833390318 0.001827166152911403 0.1797180655199822 0.0002516815786515404 0.051650584799304
230 0.1776728490170003 0.05963498791164854 -0.0107206584008424 0.000563838855113678 -0.0009175500709627171 0.003024727736743765 0.1819889436313903 0.05400990676747387 0.00252769481365622 0.1801452182478168 0.0007653510343509403 0.0516959574097076
240 0.1772291414889656 0.05929695694464318 -0.01014034419985955 0.0006482987082796192 -0.0009820728923425137 0.0009557435663692141 0.1816082221851755 0.05359955629233262 0.00124039787119188 0.1805354197297041 0.00132840916255114 0.05190264117237457
250 0.1769969588725983 0.05814642152855116 -0.009704293595281074 0.0007472226453396947 -0.001130965710413158 -0.0009542111858453734 0.1813813696436452 0.05237168825481193 2.623705277624999e-05 0.1807956388266858 0.00165709615271219 0.05210983522761315
260 0.1772660157906457 0.05700958065252029 -0.009385386628490146 0.0003824233894128923 -0.0009808309214465883 -0.001574845123903535 0.1816475828934904 0.05137836724348198 -0.0002525701595478625 0.1809614926325617 0.001642218253954115 0.05221205893506364
270 0.1770382026319919 0.05611570476852699 -0.00917662843797387 8.34315009902552e-05 -0.0007698057984439479 -0.0009529778645240397 0.1813863369871157 0.05067371797137536 0.000634084725237525 0.1811086287058387 0.001445283164483034 0.05223251962069043
280 0.1762336871167153 0.05539303609721147 -0.009035005128273689 7.041146834844118e-05 -0.0006424456876456975 -0.0008087712225533436 0.1806432918142979 0.05021012629740033 0.000534235835706043 0.1811873182617783 0.001143648770297458 0.05222703333864732
290 0.1754828487954319 0.05541430677493864 -0.009030705770271548 -5.00009300345325e-05 -0.0003929636426225166 0.0002606342398980132 0.1800221270816682 0.0503847243348822 0.00102652676527683 0.1811750756443301 0.0008842091949081192 0.05220420222418995
300 0.1753743331840682 0.05575466841016029 -0.009023795471959596 -0.0004144898314512745 -0.0001440356761294542 0.001108384327047485 0.1798432828514624 0.0506895746729543 0.001505570678373017 0.1811217595793376 0.0008842418915748545 0.05212342300786533
310 0.1756996513529832 0.056570517706493 -0.008882684437474987 -0.0003830434173624098 -0.0003324750921071958 0.0009856194456169462 0.1801677765837429 0.05146196408898584 0.001206042272396563 0.1810607163794013 0.001009136040797503 0.05196175711910853
320 0.1761865859060639 0.05779362942116598 -0.008654949590766915 0.000100621722814451 -0.0007397022343877748 0.000776461415182552 0.1807659270251104 0.05285572508642406 0.0005347737502545522 0.1809840652759709 0.0009712887228921091 0.05180786629883156
330 0.1769018166730474 0.05909041986654775 -0.008359066341962313 0.000410244051825541 -0.0007444112115319425 0.001683458131907579 0.181536024741327 0.05435909759597903 0.0006352710676598407 0.1809117783616874 0.0007808320124475221 0.05176861653061657
340 0.1777389608935311 0.06004857796118111 -0.008078782247050555 0.0004559871205910126 -0.0004717667776743966 0.004167170058668784 0.1824200347124049 0.05533815134933372 0.002323596877126504 0.1809304843856689 0.000738385474474562 0.0518814475197966
