nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
        74 -1.953846915E-01 -2.935450540E-02  9.430570017E-02 -1.087230544E+02 
        75 -2.080779707E-01 -4.461344535E-02  9.435768972E-02 -7.346400978E+01 
        76 -1.812292752E-01 -7.031434484E-02  9.439064843E-02 -6.280308120E+01 
        77 -2.035971039E-01 -3.787671085E-02  9.443872347E-02 -8.460250087E+01 
        78 -1.788450783E-01 -7.087398085E-02  9.457116199E-02 -6.164760308E+01 
        79 -1.852910343E-01 -2.800228775E-02  9.470674641E-02 -1.044243357E+02 
        80 -1.915939365E-01 -2.668579810E-02  9.475444190E-02 -8.376853994E+01 
        81 -2.085064056E-01 -6.469768406E-02  9.485705567E-02 -4.218907454E+01 
        82 -2.043315833E-01 -6.564024642E-02  9.505274436E-02 -4.412199749E+01 
        83 -2.012965504E-01 -3.294227689E-02  9.516385763E-02 -8.945403423E+01 
        84 -1.853853537E-01 -2.813093380E-02  9.518525580E-02 -4.174466941E+01 
        85 -2.127438815E-01 -5.142878131E-02  9.545878001E-02 -6.689032127E+01 
        86 -1.778366680E-01 -3.857810713E-02  9.551754052E-02 -1.927436666E+02 
        87 -2.032405852E-01 -3.482603819E-02  9.557656366E-02 -8.430114399E+01 
        88 -1.796511707E-01 -3.178102648E-02  9.564858467E-02 -2.317272891E+02 
        89 -1.915137405E-01 -2.699960293E-02  9.571058970E-02 -3.723055539E+01 
        90 -2.075098887E-01 -4.073910643E-02  9.583151899E-02 -7.632216557E+01 
        91 -1.761550609E-01 -4.564728546E-02  9.596443835E-02 -1.946924170E+02 
        92 -1.979908032E-01 -2.688468422E-02  9.606831593E-02 -1.042817782E+02 
        93 -1.792554759E-01 -2.978173595E-02  9.633202710E-02 -1.556382746E+02 
        94 -1.977610364E-01 -2.590310651E-02  9.642901299E-02 -8.032354726E+01 
        95 -1.770103688E-01 -3.465907980E-02  9.670386804E-02 -2.561566716E+02 
        96 -2.012126918E-01 -2.884274369E-02  9.670411278E-02 -9.122042233E+01 
        97 -2.167120174E-01 -5.854691388E-02  9.680008973E-02 -6.802192913E+01 
        98 -2.119383419E-01 -4.730274994E-02  9.683520505E-02 -6.767205400E+01 
        99 -1.884409642E-01 -6.958231090E-02  9.693900677E-02 -5.704458253E+01 
       100 -1.754114115E-01 -4.170040542E-02  9.708538526E-02 -2.127416144E+02 
       101 -1.746128420E-01 -5.311287010E-02  9.709216132E-02 -1.806923888E+02 
       102 -1.887335716E-01 -2.801779134E-02  9.709863276E-02 -3.525869383E+01 
       103 -1.974100255E-01 -2.626658472E-02  9.736091493E-02 -5.010400243E+01 
       104 -2.148282814E-01 -6.415011799E-02  9.739421105E-02 -4.483691070E+01 
       105 -1.743273137E-01 -6.059297439E-02  9.749678045E-02 -1.381072171E+02 
       106 -1.844140153E-01 -7.064200675E-02  9.761255369E-02 -6.063251326E+01 
       107 -1.800033015E-01 -3.009425308E-02  9.784732690E-02 -5.335559030E+01 
       108 -1.831542381E-01 -2.947273481E-02  9.798911257E-02 -4.377566945E+01 
       109 -2.107671204E-01 -6.522094983E-02  9.808035141E-02 -4.534585834E+01 
       110 -1.740315868E-01 -4.881363028E-02  9.808612127E-02 -2.006753582E+02 
       111 -1.939896774E-01 -2.721739150E-02  9.809642311E-02 -3.853647988E+01 
       112 -2.157601219E-01 -5.423412037E-02  9.812324017E-02 -6.429416883E+01 
       113 -1.744434717E-01 -6.812034770E-02  9.822221923E-02 -8.984206925E+01 
       114 -2.193279093E-01 -6.364148936E-02  9.881710196E-02 -5.970194546E+01 
       115 -1.734129637E-01 -5.569954660E-02  9.883507690E-02 -1.695408990E+02 
       116 -1.743315121E-01 -3.389683611E-02  9.885588912E-02 -3.287082285E+02 
       117 -2.067986103E-01 -3.303939388E-02  9.892913180E-02 -7.582400989E+01 
       118 -2.038130486E-01 -2.744193430E-02  9.905633142E-02 -8.612882267E+01 
       119 -1.966375177E-01 -6.852219320E-02  9.910067609E-02 -5.072708691E+01 
       120 -2.099089557E-01 -3.895038089E-02  9.911422509E-02 -7.148094354E+01 
       121 -1.739468962E-01 -3.189259674E-02  9.951928214E-02 -2.172290467E+02 
       122 -2.189251619E-01 -6.123746725E-02  9.952077201E-02 -6.977935165E+01 
       123 -2.172810139E-01 -6.429660867E-02  9.953461528E-02 -4.807683382E+01 
       124 -1.734518747E-01 -6.345677775E-02  9.961547463E-02 -1.159866070E+02 
       125 -2.034213268E-01 -2.570286238E-02  9.963474808E-02 -7.292213214E+01 
       126 -1.885442384E-01 -2.888550187E-02  9.976455733E-02 -2.851011366E+01 
       127 -1.728764637E-01 -4.078830072E-02  9.979992698E-02 -2.425380790E+02 
       128 -2.134670126E-01 -4.567902171E-02  9.998288714E-02 -6.327093182E+01 
       129 -2.035183989E-01 -6.735659022E-02  1.000275473E-01 -4.834305618E+01 
       130 -1.744842172E-01 -7.348945055E-02  1.000283886E-01 -6.754795242E+01 
       131 -2.061713160E-01 -2.939174180E-02  1.001447649E-01 -7.730146132E+01 
       132 -1.992929335E-01 -2.675386683E-02  1.002112960E-01 -5.552541469E+01 
       133 -2.029557007E-01 -2.599153767E-02  1.002477515E-01 -5.684876576E+01 
       134 -2.092883754E-01 -3.538367148E-02  1.003806891E-01 -7.100483133E+01 
       135 -1.934452695E-01 -2.805106873E-02  1.004111730E-01 -3.153475623E+01 
       136 -1.920362082E-01 -6.994297867E-02  1.005464845E-01 -5.443816531E+01 
       137 -1.766295030E-01 -7.322122179E-02  1.006239106E-01 -6.291258202E+01 
       138 -1.784825824E-01 -3.130438107E-02  1.007103697E-01 -5.827528697E+01 
       139 -1.850531481E-01 -2.991741748E-02  1.007131729E-01 -3.441205618E+01 
       140 -1.738919647E-01 -7.118888834E-02  1.007198563E-01 -7.854507506E+01 
       141 -1.721054057E-01 -3.692757850E-02  1.008891994E-01 -3.239075445E+02 
       142 -1.753941695E-01 -3.210367670E-02  1.011837046E-01 -7.459986705E+01 
       143 -1.901993064E-01 -2.905759887E-02  1.014447838E-01 -2.684735438E+01 
       144 -1.717369850E-01 -4.763390518E-02  1.014614858E-01 -2.130754971E+02 
       145 -2.128151580E-01 -4.184922821E-02  1.014709576E-01 -6.418601075E+01 
       146 -2.005642089E-01 -6.849416123E-02  1.016817112E-01 -5.086282240E+01 
       147 -2.090200975E-01 -6.675046522E-02  1.018181277E-01 -4.889356317E+01 
       148 -1.830009397E-01 -7.232587387E-02  1.020746508E-01 -6.137919165E+01 
       149 -1.779082779E-01 -7.343170441E-02  1.021717848E-01 -6.501748594E+01 
       150 -1.982698860E-01 -2.761861247E-02  1.023004951E-01 -4.661792156E+01 
       151 -1.710653259E-01 -4.404243244E-02  1.024162329E-01 -2.370384868E+02 
       152 -2.171104664E-01 -5.252524092E-02  1.027118661E-01 -6.082180896E+01 
       153 -1.953241352E-01 -2.839368045E-02  1.027928429E-01 -3.755676591E+01 
       154 -1.900437672E-01 -2.955118841E-02  1.029287238E-01 -2.947780498E+01 
       155 -1.845543424E-01 -3.075495185E-02  1.030713708E-01 -3.607605605E+01 
       156 -1.713391797E-01 -5.535633860E-02  1.031371390E-01 -1.682075793E+02 
       157 -1.701519544E-01 -3.610582331E-02  1.034225236E-01 -3.622945200E+02 
       158 -1.744459370E-01 -3.301475163E-02  1.034730171E-01 -8.294234476E+01 
       159 -2.039585401E-01 -2.679934959E-02  1.035317873E-01 -5.158744040E+01 
       160 -2.196557937E-01 -6.025628606E-02  1.035610229E-01 -6.861433882E+01 
       161 -2.162342884E-01 -4.901204630E-02  1.035960584E-01 -5.911215832E+01 
       162 -2.086012869E-01 -2.797952194E-02  1.036095778E-01 -8.132493043E+01 
       163 -2.165467021E-01 -6.578293524E-02  1.038222330E-01 -5.172062767E+01 
       164 -1.719540329E-01 -6.297457125E-02  1.040209802E-01 -1.114864950E+02 
       165 -1.697826613E-01 -3.417639741E-02  1.040420370E-01 -2.485534704E+02 
       166 -2.113363130E-01 -3.396179463E-02  1.040929383E-01 -6.491376738E+01 
       167 -1.813985065E-01 -3.174644004E-02  1.041178510E-01 -4.579182981E+01 
       168 -1.948525308E-01 -2.890694916E-02  1.041251457E-01 -3.670455159E+01 
       169 -2.081646063E-01 -2.612622671E-02  1.042251672E-01 -6.497200081E+01 
       170 -2.103556290E-01 -6.722948997E-02  1.042695333E-01 -5.227733144E+01 
       171 -1.909047683E-01 -7.135237353E-02  1.043161530E-01 -5.720097126E+01 
       172 -1.703370307E-01 -3.417849383E-02  1.044259250E-01 -9.312951181E+01 
       173 -1.705085604E-01 -5.106112602E-02  1.044326384E-01 -1.921452139E+02 
       174 -2.076534834E-01 -2.634967262E-02  1.045971274E-01 -4.554974404E+01 
       175 -1.996780777E-01 -2.805902488E-02  1.046769625E-01 -4.656662511E+01 
       176 -1.851063128E-01 -7.269475351E-02  1.046950216E-01 -6.035668010E+01 
       177 -2.026918764E-01 -2.748252395E-02  1.048704508E-01 -4.849718996E+01 
       178 -2.141555130E-01 -4.051197365E-02  1.050635224E-01 -6.028776800E+01 
       179 -1.729513327E-01 -7.057157025E-02  1.052324274E-01 -7.645744415E+01 
       180 -2.105520054E-01 -3.013616311E-02  1.052867014E-01 -7.687655392E+01 
       181 -2.006664933E-01 -6.959217018E-02  1.052877659E-01 -5.420139918E+01 
       182 -1.694523040E-01 -4.300161264E-02  1.052917793E-01 -2.486053442E+02 
       183 -2.186461787E-01 -5.538956810E-02  1.053905653E-01 -6.206894582E+01 
       184 -1.810475366E-01 -3.226880134E-02  1.055615108E-01 -5.178357493E+01 
       185 -1.709402374E-01 -5.830479530E-02  1.055856194E-01 -1.329762032E+02 
       186 -1.869302569E-01 -3.108691446E-02  1.057568855E-01 -3.413515522E+01 
       187 -1.919586702E-01 -3.007224323E-02  1.059096464E-01 -3.396286158E+01 
       188 -2.210868441E-01 -6.549069621E-02  1.059696359E-01 -6.366849085E+01 
       189 -2.183837793E-01 -6.608276105E-02  1.060376736E-01 -5.462349728E+01 
       190 -1.866501242E-01 -2.979549903E-02  1.061002270E-01 -3.594142506E+01 
       191 -2.131730991E-01 -3.624551044E-02  1.061855240E-01 -6.133279917E+01 
       192 -1.916708533E-01 -2.877688142E-02  1.062496935E-01 -3.550011368E+01 
       193 -1.686547570E-01 -3.922437150E-02  1.063282689E-01 -3.193767972E+02 
       194 -1.883324750E-01 -2.793685823E-02  1.063751909E-01 -3.359306529E+01 
       195 -1.760595650E-01 -3.363200830E-02  1.065588273E-01 -7.856882707E+01 
       196 -1.720154251E-01 -6.607811253E-02  1.066319369E-01 -8.686979441E+01 
       197 -2.206920905E-01 -6.338808978E-02  1.066435251E-01 -7.093382626E+01 
       198 -1.985428009E-01 -2.899867219E-02  1.069310541E-01 -4.309331399E+01 
       199 -1.766101553E-01 -7.522208950E-02  1.070551610E-01 -7.001122368E+01 
       200 -1.740412621E-01 -7.579313360E-02  1.071467666E-01 -7.132130953E+01 
       201 -1.878180576E-01 -2.530228619E-02  1.072298898E-01 -3.771290248E+01 
       202 -1.777202902E-01 -3.349399874E-02  1.072441137E-01 -6.831046400E+01 
       203 -2.167343523E-01 -4.692944116E-02  1.072896479E-01 -5.681430965E+01 
       204 -1.932791568E-01 -2.717160154E-02  1.072908961E-01 -4.131678166E+01 
       205 -1.835834361E-01 -2.922251869E-02  1.073614392E-01 -4.362824484E+01 
       206 -1.824198118E-01 -3.257128404E-02  1.074693055E-01 -5.448154317E+01 
       207 -2.155608527E-01 -4.247362941E-02  1.074853559E-01 -5.691237569E+01 
       208 -2.075525604E-01 -2.727819099E-02  1.075190480E-01 -4.134025542E+01 
       209 -1.929823030E-01 -7.194623125E-02  1.076421946E-01 -5.738323673E+01 
       210 -1.896146234E-01 -2.358517827E-02  1.078084215E-01 -4.240164020E+01 
       211 -1.821047488E-01 -3.121455442E-02  1.078509410E-01 -5.804910310E+01 
       212 -2.031855399E-01 -2.830783430E-02  1.078644512E-01 -4.505215550E+01 
       213 -1.734447938E-01 -7.349226874E-02  1.078775218E-01 -7.064640904E+01 
       214 -1.965657564E-01 -2.972737098E-02  1.079330727E-01 -4.233774741E+01 
       215 -1.847765654E-01 -2.460265509E-02  1.080020828E-01 -4.112276179E+01 
       216 -2.189481996E-01 -5.510676358E-02  1.080439329E-01 -6.180744452E+01 
       217 -2.090315887E-01 -6.868229416E-02  1.080479880E-01 -5.578265287E+01 
       218 -1.706748252E-01 -3.524362721E-02  1.080863110E-01 -9.066559087E+01 
       219 -1.926585845E-01 -2.457806517E-02  1.081206893E-01 -4.507816998E+01 
       220 -1.830660618E-01 -2.663497004E-02  1.082086436E-01 -4.548498202E+01 
       221 -1.692366345E-01 -4.990478969E-02  1.082626491E-01 -1.771106047E+02 
       222 -1.962831688E-01 -2.836447617E-02  1.082917496E-01 -4.510280531E+01 
       223 -1.965264504E-01 -7.141864522E-02  1.083540195E-01 -5.650369802E+01 
       224 -1.890822218E-01 -2.095754227E-02  1.086581379E-01 -4.805904420E+01 
       225 -2.052137931E-01 -6.971232854E-02  1.087682886E-01 -5.618893583E+01 
       226 -1.839676811E-01 -7.421810202E-02  1.088268213E-01 -6.216152777E+01 
       227 -1.841960019E-01 -2.201007338E-02  1.088444613E-01 -4.632192335E+01 
       228 -2.054027627E-01 -2.814643459E-02  1.088529878E-01 -4.454094993E+01 
       229 -1.860736331E-01 -2.008547447E-02  1.089621593E-01 -4.866997609E+01 
       230 -1.674489423E-01 -3.832115740E-02  1.089642616E-01 -3.096436746E+02 
       231 -2.010776235E-01 -2.913992429E-02  1.091104376E-01 -4.428089056E+01 
       232 -1.731483266E-01 -3.504415333E-02  1.091265619E-01 -8.471231461E+01 
       233 -1.685514487E-01 -4.639734925E-02  1.091613016E-01 -2.094766329E+02 
       234 -2.120273675E-01 -2.900413595E-02  1.092713799E-01 -8.467869832E+01 
       235 -2.174348507E-01 -4.790035295E-02  1.093149474E-01 -5.691856023E+01 
