nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
        77  2.001868593E-02  1.334375255E-01  1.194993544E-01  8.826930573E+00 
        78 -1.998421974E-02  1.274883963E-01  1.195466492E-01  9.896818009E+00 
        79  2.002774619E-02  1.514287314E-01  1.199783701E-01  1.837125670E+01 
        80 -1.997225803E-02  1.514008309E-01  1.200179931E-01  1.639507765E+01 
        81  2.002488914E-02  1.455281923E-01  1.200557468E-01  1.439263020E+01 
        82 -1.997526586E-02  1.450841146E-01  1.202029894E-01  1.455740733E+01 
        83  2.002142664E-02  1.382765855E-01  1.202488812E-01  1.197281222E+01 
        84 -1.997941253E-02  1.359364975E-01  1.208994764E-01  1.190743976E+01 
        85  2.001359500E-02  1.191774971E-01  1.233889263E-01  1.232590983E+00 
        86 -1.998639666E-02  1.192059673E-01  1.233996384E-01  1.729393421E+00 
        87  2.001684293E-02  1.254541555E-01  1.237349630E-01  6.432461323E+00 
        88 -1.998279114E-02  1.261905942E-01  1.237656335E-01  9.537237956E+00 
        89  2.002013473E-02  1.320949224E-01  1.238048491E-01  9.755611365E+00 
        90 -1.997760162E-02  1.360970023E-01  1.244382495E-01  1.628726253E+01 
        91 -1.998493520E-02  1.206990499E-01  1.248888023E-01  9.465573573E+00 
        92 -1.997314540E-02  1.446384108E-01  1.249812905E-01  2.176150550E+01 
        93  2.001521189E-02  1.208433309E-01  1.250230232E-01  8.270109178E+00 
        94  2.002721382E-02  1.450715555E-01  1.252627135E-01  2.010757639E+01 
        95  2.001859808E-02  1.274920943E-01  1.252786468E-01  6.444581051E+00 
        96  2.002425858E-02  1.387066440E-01  1.256045036E-01  1.708165776E+01 
        97  2.002868359E-02  1.468474031E-01  1.264855125E-01  2.746566883E+01 
        98 -1.997132119E-02  1.468258304E-01  1.265161618E-01  2.710352698E+01 
        99  2.002297935E-02  1.348817559E-01  1.268238189E-01  1.508032263E+01 
       100 -1.998009060E-02  1.284689617E-01  1.269987389E-01  1.217239587E+01 
       101 -1.997385601E-02  1.410733014E-01  1.271021452E-01  2.318875830E+01 
       102  2.002618957E-02  1.410911512E-01  1.271601972E-01  2.204906583E+01 
       103 -1.997764494E-02  1.329250369E-01  1.275286682E-01  1.691840164E+01 
       104  2.002090509E-02  1.281903341E-01  1.292918582E-01  9.664886038E+00 
       105 -1.998639666E-02  1.131392188E-01  1.294795328E-01  5.105462989E-01 
       106  2.001359500E-02  1.130907096E-01  1.294889084E-01  6.544866566E-01 
       107  2.001692597E-02  1.197996863E-01  1.295709072E-01  5.704422946E+00 
       108 -1.998318638E-02  1.194375577E-01  1.297247496E-01  7.450029615E+00 
       109  2.002400825E-02  1.336405915E-01  1.301702284E-01  1.560715595E+01 
       110 -1.998516353E-02  1.144042580E-01  1.307301505E-01  8.614593378E+00 
       111  2.001488130E-02  1.144409939E-01  1.307636791E-01  8.063792912E+00 
       112 -1.997207229E-02  1.409071740E-01  1.309135453E-01  2.808605605E+01 
       113  2.002799780E-02  1.410031081E-01  1.309426267E-01  2.572115197E+01 
       114 -1.997532829E-02  1.340779507E-01  1.311053254E-01  2.244392949E+01 
       115  2.002479370E-02  1.341350903E-01  1.312793966E-01  2.143291019E+01 
       116 -1.997874859E-02  1.261904350E-01  1.320228544E-01  1.232072512E+01 
       117  2.002137285E-02  1.262771053E-01  1.321650831E-01  8.249394158E+00 
       118  2.002950647E-02  1.428252007E-01  1.321984947E-01  3.184540006E+01 
       119 -1.997049855E-02  1.428049831E-01  1.322272177E-01  3.269946676E+01 
       120  2.001939006E-02  1.221196532E-01  1.322803837E-01  2.220903105E+00 
       121 -1.998069031E-02  1.218472841E-01  1.324085035E-01  7.095393108E+00 
       122 -1.997257973E-02  1.381215086E-01  1.326692453E-01  2.831611678E+01 
       123  2.002746990E-02  1.380870948E-01  1.327861901E-01  2.626553419E+01 
       124 -1.997477009E-02  1.315714357E-01  1.347575935E-01  2.427978952E+01 
       125 -1.997629793E-02  1.283802618E-01  1.348341581E-01  1.878178665E+01 
       126  2.002572499E-02  1.319432342E-01  1.353783217E-01  2.205532988E+01 
       127  2.002399773E-02  1.283654342E-01  1.354351671E-01  1.526330517E+01 
       128  2.001673016E-02  1.135470043E-01  1.354370749E-01  1.747036200E+00 
       129 -1.998329311E-02  1.134585673E-01  1.354987405E-01  3.449932274E+00 
       130 -1.998639666E-02  1.070526689E-01  1.355792669E-01 -7.501909675E+00 
       131  2.001359500E-02  1.069851553E-01  1.356076900E-01 -6.098514201E+00 
       132 -1.998518487E-02  1.083183741E-01  1.367863756E-01  7.557564787E-01 
       133  2.001482793E-02  1.083193642E-01  1.367896719E-01  1.222038078E+00 
       134 -1.997903864E-02  1.205236663E-01  1.371091236E-01  5.578566578E+00 
       135  2.002102261E-02  1.205999153E-01  1.371382874E-01 -1.958483915E-02 
       136  2.002995824E-02  1.386430113E-01  1.373113778E-01  3.254448199E+01 
       137 -1.997004992E-02  1.386215711E-01  1.373369476E-01  3.350955171E+01 
       138 -1.997225768E-02  1.338036978E-01  1.376537957E-01  2.974641592E+01 
       139  2.002780288E-02  1.337915276E-01  1.377705378E-01  2.738519943E+01 
       140  2.001919795E-02  1.160271070E-01  1.379931204E-01 -6.167133862E+00 
       141 -1.998082564E-02  1.159591087E-01  1.380333913E-01 -1.452276060E+00 
       142 -1.997500883E-02  1.268300083E-01  1.390220979E-01  2.077006116E+01 
       143  2.002510495E-02  1.269159653E-01  1.391502083E-01  1.703362426E+01 
       144 -1.997660815E-02  1.229281713E-01  1.396655092E-01  1.275064655E+01 
       145  2.002347545E-02  1.229785388E-01  1.397661905E-01  7.537844936E+00 
       146 -1.997109622E-02  1.329624287E-01  1.408703568E-01  3.062749919E+01 
       147  2.002903179E-02  1.331162235E-01  1.409576097E-01  2.772165175E+01 
       148  2.001666465E-02  1.077059263E-01  1.411577665E-01 -1.255472340E+01 
       149 -1.998333527E-02  1.076917568E-01  1.411928422E-01 -1.305318278E+01 
       150 -1.997256645E-02  1.292164510E-01  1.416209351E-01  2.801519615E+01 
       151 -1.998639666E-02  1.009325708E-01  1.417126262E-01 -2.646033560E+01 
       152  2.001359500E-02  1.008594421E-01  1.417466662E-01 -2.258228310E+01 
       153  2.002749967E-02  1.291931233E-01  1.417602538E-01  2.498114620E+01 
       154  2.003001193E-02  1.340992588E-01  1.419742736E-01  3.361333249E+01 
       155 -1.996999858E-02  1.340789127E-01  1.419946197E-01  3.574250990E+01 
       156  2.002093662E-02  1.151739018E-01  1.424003865E-01 -1.244263949E+01 
       157 -1.997908660E-02  1.151368281E-01  1.424109868E-01 -7.833834834E+00 
       158  2.001495032E-02  1.023768335E-01  1.429957091E-01 -1.996696641E+01 
       159 -1.998505248E-02  1.023868671E-01  1.430011665E-01 -2.406176603E+01 
       160 -1.997510147E-02  1.219302733E-01  1.437435962E-01  1.251235169E+01 
       161  2.002493695E-02  1.219703956E-01  1.437627369E-01  8.643949427E+00 
       162  2.001929869E-02  1.104459349E-01  1.437935451E-01 -2.311027677E+01 
       163 -1.998071047E-02  1.104285890E-01  1.438122140E-01 -2.046577586E+01 
       164 -1.997663326E-02  1.176802453E-01  1.448734532E-01 -8.573625607E-01 
       165  2.002339371E-02  1.177072885E-01  1.448817414E-01 -5.022121144E+00 
       166 -1.997123470E-02  1.282321997E-01  1.453286921E-01  2.766359557E+01 
       167  2.002881185E-02  1.283044344E-01  1.453306485E-01  2.459385320E+01 
       168 -1.997264146E-02  1.244300872E-01  1.462640651E-01  2.165561120E+01 
       169  2.002738732E-02  1.244401111E-01  1.462937236E-01  1.897614003E+01 
       170  2.001648011E-02  1.020463386E-01  1.464529467E-01 -3.822482674E+01 
       171 -1.998351379E-02  1.020531506E-01  1.464789899E-01 -4.259779179E+01 
       172  2.003000708E-02  1.295037681E-01  1.465697643E-01  3.238334188E+01 
       173 -1.997000350E-02  1.294877173E-01  1.465858152E-01  3.542314258E+01 
       174 -1.998639666E-02  9.476511529E-02  1.478934418E-01 -4.043417041E+01 
       175  2.001359500E-02  9.472004224E-02  1.478993661E-01 -3.357221768E+01 
       176  2.002111288E-02  1.099025152E-01  1.480440941E-01 -3.651308673E+01 
       177 -1.997889448E-02  1.098895183E-01  1.480615964E-01 -3.418084972E+01 
       178  2.002491946E-02  1.171514158E-01  1.485560847E-01 -8.330105943E+00 
       179 -1.997509694E-02  1.171267549E-01  1.485667341E-01 -6.233891739E+00 
       180  2.001514480E-02  9.651263290E-02  1.492697286E-01 -4.625218376E+01 
       181 -1.998485550E-02  9.652421571E-02  1.492789610E-01 -5.602283429E+01 
       182  2.001976065E-02  1.054092539E-01  1.497847103E-01 -4.788304441E+01 
       183 -1.998024368E-02  1.054074037E-01  1.497971930E-01 -4.785931454E+01 
       184  2.002876205E-02  1.236677726E-01  1.498757694E-01  1.484111106E+01 
       185 -1.997125765E-02  1.236241136E-01  1.498980651E-01  1.632316821E+01 
       186  2.002359509E-02  1.126696660E-01  1.503409887E-01 -2.876449137E+01 
       187 -1.997641773E-02  1.126555762E-01  1.503491377E-01 -2.653426074E+01 
       188  2.001359500E-02  9.190018375E-02  1.507253357E-01 -2.943823154E+01 
       189 -1.998639666E-02  9.191980311E-02  1.507449130E-01 -3.413913800E+01 
       190  2.002742772E-02  1.197860422E-01  1.510399613E-01  3.164533725E+00 
       191 -1.997258653E-02  1.197697281E-01  1.510460297E-01  3.770200721E+00 
       192  2.003000205E-02  1.249015182E-01  1.511720142E-01  2.440456496E+01 
       193 -1.997000751E-02  1.248969334E-01  1.511765990E-01  2.591864481E+01 
       194  2.001639803E-02  9.648689658E-02  1.518560178E-01 -6.407958054E+01 
       195 -1.998359821E-02  9.649964445E-02  1.518720228E-01 -7.028356927E+01 
       196  2.002069225E-02  1.049691506E-01  1.521282040E-01 -5.877344720E+01 
       197 -1.997931120E-02  1.049668510E-01  1.521434932E-01 -5.780888109E+01 
       198  1.648152492E-02  9.372934559E-02  1.525505451E-01 -3.148909187E+01 
       199 -1.644333330E-02  9.374160581E-02  1.525627787E-01 -3.822542012E+01 
       200  2.002496813E-02  1.126700618E-01  1.531455045E-01 -3.604102313E+01 
       201 -1.997503957E-02  1.126559806E-01  1.531640864E-01 -3.423792416E+01 
       202  1.738236080E-02  9.476513440E-02  1.535840943E-01 -3.833302123E+01 
       203 -1.735943494E-02  9.477694430E-02  1.535958795E-01 -4.553702607E+01 
       204  2.001643847E-02  9.480488762E-02  1.536237601E-01 -5.124150929E+01 
       205 -1.998355686E-02  9.482039661E-02  1.536392376E-01 -5.893166526E+01 
       206  2.001970450E-02  1.006595819E-01  1.544291078E-01 -7.540806921E+01 
       207 -1.998029895E-02  1.006635196E-01  1.544391726E-01 -7.340621159E+01 
       208  2.002884026E-02  1.191647492E-01  1.545475505E-01 -7.164199098E+00 
       209 -1.997117457E-02  1.191345990E-01  1.545673925E-01 -7.623709494E+00 
       210 -8.612692502E-03  9.661075494E-02  1.554257258E-01 -1.906049092E+01 
       211  8.590172727E-03  9.662124958E-02  1.554361987E-01 -1.805341097E+01 
       212  2.002774236E-02  1.159420261E-01  1.555342059E-01 -2.395011536E+01 
       213 -1.997226885E-02  1.159282003E-01  1.555458192E-01 -2.360206914E+01 
       214 -1.997002086E-02  1.202919746E-01  1.557641110E-01  3.261821805E-01 
       215  2.002378436E-02  1.076337344E-01  1.557737863E-01 -5.857126748E+01 
       216  2.002998976E-02  1.202820762E-01  1.557764297E-01  1.126181651E+00 
       217 -1.997622258E-02  1.076298512E-01  1.557846152E-01 -5.399229845E+01 
       218  2.002475115E-02  1.094285383E-01  1.559506371E-01 -5.019469348E+01 
       219 -1.997525775E-02  1.094214797E-01  1.559599746E-01 -4.573400636E+01 
       220 -1.344230912E-05  9.759587340E-02  1.564087143E-01  1.163658414E+01 
       221 -9.200347679E-03  9.807769595E-02  1.568894954E-01 -1.086739308E+01 
       222  1.548882592E-02  9.830439886E-02  1.571157084E-01 -4.079834590E+01 
       223 -1.499680867E-02  9.913658113E-02  1.579460916E-01 -3.632565650E+01 
       224  9.680995022E-03  9.913690961E-02  1.579464198E-01 -8.052305621E+00 
       225 -3.375697630E-06  9.922453541E-02  1.580338560E-01  1.255688271E+01 
       226  1.004010495E-02  9.927134447E-02  1.580805641E-01 -1.230310426E+01 
       227 -1.248383996E-02  9.940991298E-02  1.582188323E-01 -1.029793364E+01 
       228  2.002181155E-02  1.008952013E-01  1.584978879E-01 -8.805657652E+01 
       229 -1.997819443E-02  1.008993610E-01  1.585011178E-01 -8.009757213E+01 
       230  2.002177546E-02  1.002570128E-01  1.590640987E-01 -6.311423472E+01 
       231 -1.997821716E-02  1.002740128E-01  1.590810660E-01 -5.755881526E+01 
       232  1.827913806E-02  1.002945472E-01  1.591015529E-01 -2.281304988E+01 
       233 -1.715120255E-02  1.002960039E-01  1.591030079E-01 -1.796264221E+01 
       234  2.002418636E-02  1.050478030E-01  1.591872685E-01 -8.015898444E+01 
       235 -1.997582138E-02  1.050479957E-01  1.591917817E-01 -6.993424741E+01 
       236 -4.061223058E-03  1.005399639E-01  1.593464405E-01  1.723372018E+01 
       237  2.002761191E-02  1.115325488E-01  1.596873156E-01 -4.780763269E+01 
       238 -1.997238837E-02  1.115303190E-01  1.597093942E-01 -4.170133085E+01 
       239  3.228001306E-03  1.009804635E-01  1.597859883E-01  1.989142916E+01 
       240 -1.997013954E-02  1.155415892E-01  1.602835084E-01 -2.962404530E+01 
       241  2.002986401E-02  1.155158360E-01  1.602961524E-01 -3.204488395E+01 
       242 -1.997558892E-02  1.029581198E-01  1.617593708E-01 -4.705614178E+01 
       243  2.002678689E-02  1.066425391E-01  1.629026025E-01 -7.222930804E+01 
       244 -1.997322391E-02  1.066367062E-01  1.629066855E-01 -6.752317129E+01 
       245  2.002825237E-02  1.094129398E-01  1.631199630E-01 -5.602386306E+01 
       246 -1.997175619E-02  1.094132141E-01  1.631233187E-01 -5.331000709E+01 
       247 -5.377262032E-03  1.044190971E-01  1.632171871E-01  5.146855358E+01 
       248  1.180254125E-02  1.044922485E-01  1.632901801E-01  2.474358442E+01 
       249  1.592516114E-02  1.047781772E-01  1.635754900E-01  1.516543187E+01 
       250  3.000947873E-03  1.048131106E-01  1.636103486E-01  5.714583961E+01 
       251 -1.997340946E-02  1.051852284E-01  1.639816629E-01 -2.691376526E+01 
       252  2.002660234E-02  1.051878411E-01  1.639842677E-01 -3.092641545E+01 
       253  3.696672835E-03  1.053308508E-01  1.641269691E-01  6.859550915E+01 
       254 -1.712940018E-02  1.053646065E-01  1.641606514E-01  1.972508633E+01 
       255 -1.054319026E-02  1.053646065E-01  1.641606514E-01  4.518962944E+01 
       256  1.682876291E-02  1.053775017E-01  1.641735182E-01  2.535174257E+01 
       257  1.025497357E-02  1.054810703E-01  1.642768637E-01  5.257502936E+01 
       258 -3.378435881E-03  1.055214237E-01  1.643171308E-01  7.180645712E+01 
       259 -1.676093326E-02  1.055807348E-01  1.643763124E-01  3.522132222E+01 
       260 -1.997057000E-02  1.103129969E-01  1.646450324E-01 -4.441331540E+01 
       261  2.002943233E-02  1.102931215E-01  1.646491940E-01 -4.804615929E+01 
       262 -1.997085847E-02  1.077919823E-01  1.665827793E-01 -1.345508547E+01 
       263 -1.711939518E-02  1.077919823E-01  1.665827793E-01  3.332445721E+01 
       264 -1.046110693E-02  1.077919823E-01  1.665827793E-01  5.979665945E+01 
       265 -3.413231616E-03  1.077919823E-01  1.665827793E-01  7.917487421E+01 
       266  3.617779579E-03  1.077919823E-01  1.665827793E-01  7.785284878E+01 
       267  1.049284820E-02  1.077919823E-01  1.665827793E-01  5.651348363E+01 
       268  1.717219294E-02  1.077919823E-01  1.665827793E-01  2.748779218E+01 
       269  2.002915181E-02  1.077919823E-01  1.665827793E-01 -1.612144867E+01 
