nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure 
        74 -1.437287832E-01 -6.023798584E-02  1.260851010E-01 -7.505741490E+01 
        75 -1.549851100E-01 -3.183261661E-02  1.261804134E-01 -8.121141854E+01 
        76 -1.664781153E-01 -2.839100144E-02  1.261816524E-01 -1.509125586E+02 
        77 -1.290919542E-01 -6.092944332E-02  1.262303075E-01 -7.076349654E+01 
        78 -1.709853686E-01 -2.253333094E-02  1.263327329E-01 -1.275496714E+02 
        79 -1.311349643E-01 -5.650000735E-02  1.263366449E-01 -6.765512527E+01 
        80 -1.357793666E-01 -5.057644451E-02  1.263371044E-01 -6.264762097E+01 
        81 -1.363011032E-01 -7.212641539E-02  1.264885846E-01 -8.072296878E+01 
        82 -1.598954006E-01 -3.877133546E-02  1.264937995E-01 -9.851314258E+01 
        83 -1.335359894E-01 -5.329644810E-02  1.265094700E-01 -6.420459179E+01 
        84 -1.373932744E-01 -7.071990934E-02  1.265289587E-01 -9.148344414E+01 
        85 -1.698629925E-01 -2.495525490E-02  1.265762764E-01 -1.360606753E+02 
        86 -1.285159709E-01 -6.336377905E-02  1.267028243E-01 -7.112628442E+01 
        87 -1.578835319E-01 -4.246786214E-02  1.267421472E-01 -8.984637570E+01 
        88 -1.331394200E-01 -5.350486216E-02  1.268727937E-01 -6.623952778E+01 
        89 -1.313522467E-01 -6.833598462E-02  1.268862532E-01 -6.800741058E+01 
        90 -1.594605184E-01 -2.819754090E-02  1.269354484E-01 -9.056663471E+01 
        91 -1.744919487E-01 -1.975943002E-02  1.269709118E-01 -9.820284574E+01 
        92 -1.387525703E-01 -4.624565022E-02  1.269957109E-01 -6.194977334E+01 
        93 -1.447212964E-01 -6.197506776E-02  1.270018888E-01 -7.612279561E+01 
        94 -1.423870721E-01 -6.548350354E-02  1.270622494E-01 -8.001530860E+01 
        95 -1.537268008E-01 -4.949580791E-02  1.270773603E-01 -7.253311603E+01 
        96 -1.419970545E-01 -4.193333563E-02  1.271447712E-01 -6.292330621E+01 
        97 -1.635120076E-01 -2.521794727E-02  1.271598815E-01 -9.680299607E+01 
        98 -1.497079125E-01 -5.558835908E-02  1.271964613E-01 -6.676467133E+01 
        99 -1.454167008E-01 -3.800545972E-02  1.273342831E-01 -6.571143247E+01 
