"report"
"Iteration" "cd-scale etc.."
("Iteration" "cd-scale" "cl-scale" "cx-scale" "cmx-scale" "cmy-scale" "cmz-scale")
10 0.227069507550523 0.02718673934426554 0.006279972253419151 -0.009898142797861073 -0.002083063325553651 0.006880141990586204
20 0.2389738701944004 0.01403518305009233 -0.01552975638504285 -0.01396711999841924 -0.00168286034030646 0.007381541258432553
30 0.237059461367953 0.008013210301299782 -0.0144706607015442 -0.01164826008765079 -0.001370130775772137 0.008991450905104236
40 0.2329748097789619 0.007198095406201101 -0.009363438873602985 -0.01025919900982997 -0.001198364319958289 0.006278567633700098
50 0.2312299983264988 0.003190530969133184 -0.004510668990190148 -0.008874335845828012 -0.0006727758566664362 0.003175831925626202
60 0.2341114982344987 0.0007111308748343923 -0.009175122702747746 -0.008451209524818036 -0.0005200281644898074 0.003577433569833527
70 0.2344722649606491 -0.0001887390392407654 -0.006889684863041215 -0.008110216338611894 -0.0004943864514762643 0.004501845413851915
80 0.2348868460412354 0.0006314910688619403 -0.007389181061386317 -0.008176469269183277 -0.0009055633185450217 0.005582309608192384
90 0.2349585322768788 0.003279763306140781 -0.007749273235395289 -0.008079359769233524 -0.001098421683561963 0.006088774377099613
100 0.2344294600406898 0.004957715057074266 -0.006167277968797845 -0.007890165528375121 -0.001208058404367634 0.006368540288859226
110 0.2339147728296418 0.005487615243562203 -0.004168280125405571 -0.007866949307020438 -0.001246390546034753 0.006271599697867476
120 0.2331279650083778 0.005761501655179458 -0.003166712805804734 -0.007815941030070134 -0.001223025656598443 0.00608357532696984
130 0.2323734763524752 0.006123320130335915 -0.002687777725606855 -0.007670891175448271 -0.001200174611609035 0.006086241642565889
140 0.2320006154781003 0.006443817657272042 -0.002217513235610218 -0.007576206131985653 -0.001202371255708906 0.006158945124207923
150 0.2318261003175529 0.006636874268169741 -0.001799212307725496 -0.007514301312789027 -0.001211947879649292 0.006188427670723495
160 0.2317233274394401 0.006771281130476777 -0.001736496518759415 -0.00749055214091039 -0.00121752223183821 0.006169851889943832
170 0.2317060512308378 0.006866803727100529 -0.00192036424056175 -0.007499142432659887 -0.001219229957471108 0.006177966561171901
180 0.2317266704557125 0.006917206936492893 -0.00206046607197027 -0.007508234168196576 -0.00121987875973978 0.006192626626700923
190 0.2317724265171416 0.006944078287378222 -0.002182380856512 -0.007516260769015948 -0.001225946188183982 0.006202692813811597
200 0.2318348925772053 0.006978250075666058 -0.002366145807982432 -0.00753127101192573 -0.001234672942671634 0.006219458736186331
210 0.2318840033877278 0.007020544867225591 -0.002544465480476335 -0.007545254142014656 -0.001239036221411029 0.006238617867163054
220 0.2319103545308767 0.007069863095222306 -0.002649281241805881 -0.007555949559327852 -0.001240074522427742 0.006251694284793027
230 0.2319372289852468 0.007124450574421929 -0.002714977882399956 -0.007565661909681847 -0.001240577981806708 0.006265971798573687
240 0.2319652408570995 0.00717852601806738 -0.002800414151313798 -0.007574194306668246 -0.001242019225629364 0.00628273666213214
250 0.2319853921934742 0.007223522804258808 -0.002923953460375918 -0.007583995459448299 -0.001243573225257535 0.006301428919902661
260 0.2320076884487002 0.007253997866420122 -0.003032543067366133 -0.007595904973304895 -0.001243146105271095 0.00631792484527997
270 0.2320362541332837 0.007286439115993653 -0.00309572328395306 -0.007606570563975056 -0.001241180628801719 0.006328452797722059
280 0.2320669195362138 0.007327352499799677 -0.003136942614035862 -0.007615102664929001 -0.00123943961477799 0.006334293180052929
290 0.2320935551277424 0.007355934979896258 -0.003191294508455221 -0.007622725216080779 -0.0012392359201343 0.006340625693547236
