config,pitchAngle,yawAngle,ironcub-cd,ironcub-cl,ironcub-cs,head-cd,head-cl,head-cs,torso-cd,torso-cl,torso-cs,left-back-turbine-cd,left-back-turbine-cl,left-back-turbine-cs,right-back-turbine-cd,right-back-turbine-cl,right-back-turbine-cs,left-arm-cd,left-arm-cl,left-arm-cs,left-arm-turbine-cd,left-arm-turbine-cl,left-arm-turbine-cs,right-arm-cd,right-arm-cl,right-arm-cs,right-arm-turbine-cd,right-arm-turbine-cl,right-arm-turbine-cs,root-link-cd,root-link-cl,root-link-cs,left-leg-upper-cd,left-leg-upper-cl,left-leg-upper-cs,left-leg-lower-cd,left-leg-lower-cl,left-leg-lower-cs,right-leg-upper-cd,right-leg-upper-cl,right-leg-upper-cs,right-leg-lower-cd,right-leg-lower-cl,right-leg-lower-cs
Config1,150,-60,0.18992736,-0.024067675,0.025984105,0.013482566,0.0050429325,-0.005322601,0.026887941,0.002143646,-0.0066189029,0.017635648,-0.012636104,-0.012717716,0.00026209541,-0.0012586875,-0.0013801558,0.0047752764,-0.00040309787,0.0033523651,0.01173448,0.002470795,0.0060427164,0.0039179663,-0.0030225988,-0.0016626025,0.012968979,0.00052836267,0.0081787667,0.021188934,-0.012964922,-0.0058332026,0.010487451,-0.0051467195,0.0067697941,0.027837339,0.0015950356,0.015437354,0.012635187,0.0015696574,0.0068441597,0.026113498,-0.0019859746,0.01289413
Config1,160,-60,0.18100843,-0.0064330739,0.034546482,0.013176043,0.012215174,-0.0040153382,0.024009609,-0.00058416196,-0.0049666345,0.017476743,-0.013841724,-0.0084196196,0.0010677734,-0.00099779279,0.00076874755,0.0050926929,0.00099695313,0.0036781581,0.012874118,0.0043912327,0.0062435913,0.0034672566,-0.003974745,-0.002256092,0.012261175,0.0010135089,0.0068024373,0.019058287,-0.011156333,-0.0035786709,0.0089756555,-0.0037147189,0.0075762313,0.02673922,0.0048250939,0.014266695,0.01078905,0.0031812078,0.0060187966,0.02602081,0.0012132317,0.01242818
Config1,170,-60,0.17014528,0.008501322,0.038916205,0.010628266,0.0050034897,0.00063955465,0.022027281,0.0026583041,-0.0084692778,0.015720652,-0.013532609,-0.0054577961,-0.00033852161,-2.3960731E-05,0.00054331307,0.0058587179,0.0028618307,0.0036048006,0.014758062,0.0059260821,0.0054245029,0.0032476328,-0.0021372142,-0.00016534028,0.012781682,0.00048683579,0.0056703622,0.016101349,-0.0083915542,7.0752361E-05,0.0080501085,-0.00055768333,0.0087321572,0.025859832,0.0079393263,0.011700051,0.009837738,0.0046596683,0.0051078468,0.025612483,0.0036088068,0.011515278
Config1,180,-60,0.15945658,0.011357782,0.0181485,0.0078301397,-0.0051218386,-0.0011683022,0.022870427,0.0080148485,-0.018465666,0.015111564,-0.012365514,-0.0038249088,0.001160937,-3.1894183E-05,0.00060825477,0.0061599532,0.0042900447,0.0031706958,0.015966043,0.0073294521,0.0041929422,0.0012057872,-0.0010161452,-0.00015065203,0.010791085,-0.0012975336,0.0035494699,0.015366785,-0.0073111174,0.0013285616,0.0075859056,0.0027906097,0.008483677,0.024683177,0.0067100398,0.0066377119,0.0079532833,0.0050539725,0.0035222437,0.022771496,0.0043128574,0.010264472
Config1,0,-40,0.14173336,-0.012350243,0.042473946,0.020726705,-0.0021489661,0.011175608,0.024928759,-0.0053994574,-0.0051205826,0.01395511,0.0013995739,-0.00098546563,0.0057251283,-0.00086875407,0.0077600107,0.0078016354,0.0025449089,0.002972624,0.010184619,-0.0015280789,0.0039998398,0.00024335397,0.00061092501,0.00019015205,0.0064085159,-4.4360589E-05,0.0022296786,0.0093398577,0.0010696732,0.0048237268,0.010138205,0.0010472759,0.0032271162,0.020638021,-0.0049274251,0.0081234578,-0.0024975091,-0.0019145815,-0.0018353371,0.014140953,-0.0021909766,0.0059131175
Config1,10,-40,0.13517791,-0.00033169601,0.041754228,0.019265937,-0.0042434649,0.011089478,0.023397719,-0.0063167681,-0.0035345879,0.013345717,0.004654282,-0.0015877747,0.0042423975,-0.0012641323,0.0061581808,0.007819555,0.0018538038,0.0019788082,0.010101306,-0.00064998063,0.0028378705,0.0015394049,0.002028802,0.00171507,0.0087222527,0.00092867435,0.0040218318,0.0091482216,0.0033039286,0.0042650771,0.0095942237,0.0029096521,0.0033519412,0.018678266,-0.00030929891,0.0089446902000000009,-0.0014503888,-0.00059736021,-0.00026763213,0.0107733,-0.0026298338,0.002781275
Config1,20,-40,0.14607862,0.02312774,0.049832418,0.01788768,-0.0020740825,0.017600021,0.027492327,-0.00363981,-0.0028833799,0.013839791,0.0094638781,-0.0033330602,0.0048602945,-4.0399079E-05,0.0052240619,0.0088035375,0.0024393932,0.0015306091,0.010517606,0.00050648706,0.0016123804,0.0038683508,0.0034660933,0.0022223208,0.010988262,0.0013138845,0.0076685563,0.0086634598,0.0048922911,0.0046572208,0.01144178,0.0012016802,0.0038075295,0.019076989,0.0026926017,0.0093105822,0.0017903572,0.0019927653,0.00087475367,0.006848189,0.00091295734,0.001540822
Config1,30,-40,0.16036466,0.043513405,0.0486466,0.015942251,0.0018244554,0.019057229,0.031268823,0.0015847406,-0.0032277112,0.015102054,0.010884368,-0.0064111946,0.0057550592,0.0007475092,0.0055896245,0.0092112775,0.0032543123,0.00067963615,0.010917813,0.00031688064,0.0015459517,0.0051497904,0.0034607366,0.0030297051,0.012465524,0.002945222,0.007418579,0.0097019603,0.0091025482,0.0021656211,0.013964432,0.0031849519,0.0051160858,0.019490954,0.002908268,0.0095982261,0.0023469057,0.0031731674,0.00032280553,0.0090478112,0.00012624429,0.0037620414
Config1,40,-40,0.17886697,0.060188613,0.04664893,0.019201925,0.0088592453,0.014182318,0.031568201,0.008365499,0.00084877638,0.015795936,0.014659514,-0.0097356656,0.0086985325,0.0032643325,0.0073486686,0.0097073243,0.0027532731,-0.00031604672,0.010716769,0.00052504984,0.0011992264,0.0064588537,0.0032922752,0.0051164522,0.014575616,0.0021443076,0.0075186167,0.012876604,0.012136349,0.00081862307,0.015482678,0.0032925529,0.0046646804,0.021879948,0.00029661166,0.011927999,0.004042348,0.0026459799,0.0013771008,0.0078622337,-0.0020463766,0.0016981804
Config1,50,-40,0.19526676,0.055528178,0.042324209,0.015542937,0.0054404921,0.014722521,0.036782939,0.012220897,-0.0015290716,0.017345595,0.01745761,-0.013769708,0.0077589883,0.0022874323,0.0070797858,0.0098604471,0.0015581613,-0.0010127536,0.010798426,0.00066384972,0.00067137538,0.0078301415,0.004372975,0.0038580762,0.015714346,0.0016707169,0.0091726916,0.014577076,0.013316842,-0.00068104995,0.018768921,0.001726853,0.0053073908,0.02627311,-0.0067735299,0.018417152,0.0061705965,0.0027503111,-0.0016856221,0.0078432364,-0.0011644328,0.0017734217
