"report"
"Iteration" "cd etc.."
("Iteration" "cd" "cl" "cmx" "cmy" "cmz" "cx" "cd-scale" "cl-scale" "cs-scale")
10 0.1563034020860431 0.04831281378686014 -0.01588313640203901 -0.006617688295668673 0.01359223042935153 0.06151948929430344 0.1641872367225075 0.04850934169066674 0.05282619215341419
20 0.1892074337883509 0.05829770422377354 -0.01561706514474294 -0.002736858789820377 0.006514051643444234 0.0170404264883698 0.1975187353255339 0.05873582970747718 0.01396761674483929
30 0.199700139563055 0.06276185400018583 -0.01517560560202334 -0.0008313664962053095 0.001829273290679257 -0.007466558535034998 0.208505102872525 0.06386868680291233 -0.005177763828464669
40 0.2013282492531317 0.06243154313200835 -0.01591459319822393 -0.002238902975780463 0.003744294892675831 0.001648994133720778 0.2102641009109518 0.06403509295713611 0.006076671529707501
50 0.2022801873702009 0.06599547944595033 -0.01568097924555166 -0.002313739728904867 0.004092080970206955 0.006310395912918211 0.2107228425815879 0.06763354501616943 0.01275709271630004
60 0.2032438390233515 0.0706554841435032 -0.015655899890669 -0.001626564537071244 0.002760320387198795 0.005971585480554848 0.2112689015142787 0.07226870492163251 0.01249694451793135
70 0.2033128916241313 0.0730200016781653 -0.01532703482648742 -0.000579694284721961 0.0008923268753040246 0.003626440053555068 0.2108987334843558 0.07411971587454852 0.008573607547969478
80 0.2028983716988358 0.07339975050383053 -0.01466741185549224 -0.00048474766821014 0.00108991293443351 0.004696216260637365 0.2099808691350815 0.07384089228344966 0.007639636952666928
90 0.2027831229281533 0.07473371329154971 -0.01405846023236444 -0.0003668759486386668 0.0009853913091603626 0.004823967836206321 0.2094164624456855 0.0739407654542302 0.005840820903826584
100 0.2025344216806361 0.07629128487239487 -0.01364624002913227 -0.0002854943837498557 0.000858886502169832 0.004329366635806133 0.2092408134217208 0.07481275041184517 0.004833935037167356
110 0.2018555659396925 0.0764745405544927 -0.01345727811045632 -0.0002735294492087971 0.000904859403123383 0.004229715942993574 0.2087630573081448 0.0749481404073158 0.004856089432615267
120 0.201334976922933 0.07590634361236279 -0.01320995659907835 -0.0001788482189645495 0.0007165331716369965 0.004330900957960596 0.2083973716913717 0.0745422305973828 0.00510478648885526
130 0.2009128757454552 0.07548784918866507 -0.01285376729172737 -0.0001026667259129238 0.0004622105580869136 0.004645482301879981 0.2080525711885461 0.07435920959681082 0.005514797346227411
140 0.2003991965288338 0.07564627387681835 -0.01252554820829443 -0.0001214923733300103 0.0003158806609292342 0.004589477105197099 0.207577998076054 0.07477458868265771 0.0053901353805571
150 0.1999304484032289 0.07617386465304307 -0.01234029297384562 -0.0001317465512185942 0.0002480852183571561 0.004068547013973912 0.2071255257752879 0.07552524803605952 0.004690450512926942
160 0.1997167213477501 0.07640452222115314 -0.01230958777893263 -0.0001064382523899853 0.0002283886221472855 0.003113300949256948 0.2068988503377359 0.07591049335556264 0.00357647103787209
