	X	Y	Z
	----	----	----
C1	16.0	-41.4	-8.2
C2	16.0	-42.6	-28.3
C3	30.4	-37.5	-61.3
C4	50.5	-0.3	-23.1
C5	51.3	-0.3	-50.3
C6	29.7	33.9	-6.1
C7	16.1	41.2	-34.3
C8	33.0	34.0	-61.4
C9	-47.1	-15.8	14.1
C10	-41.9	-30.4	-33.1
C11	-52.8	-7.6	-43.7
C12	-46.9	-27.0	-82.7
C14	-44.9	24.4	-95.4
C15	-23.9	40.4	-52.6
C16	-15.5	41.6	-11.4
