	X	Y	Z
	----	----	----		
D1	15.9	41.4	-8.2
D2	16.0	42.6	-28.3
D3	30.4	37.6	-61.3
D4	50.5	0.3	-23.1
D5	51.3	0.3	-50.3
D6	29.7	-33.9	-6.2
D7	16.1	-41.2	-34.3
D8	33.0	-34.0	-61.4
D9	-47.1	15.7	14.1
D10	-42.0	30.4	-33.1
D11	-52.9	7.6	-43.8
D12	-46.9	27.0	-82.7
D14	-44.9	-24.4	-95.5
D15	-23.9	-40.5	-52.6
D16	-15.4	-41.6	-11.4
