	X	Y	Z
	----	----	----
J1	38.972	23.063	-80.182
J2	-0.988	-31.937	-90.182
J3	8.229	73.063	-90.182
J4	35.580	23.063	-128.182
J5	24.445	-16.937	-160.182
J6	36.196	23.063	-173.182
J7	-0.257	73.063	-160.182
J9	-74.703	-24.937	-110.315
J10	-73.805	-24.937	-170.315
J11	-65.664	75.063	-160.315
J12	-67.822	75.063	-100.315
