"report"
"Iteration" "cd-scale etc.."
("Iteration" "cd-scale" "cl-scale" "cx-scale" "cmx-scale" "cmy-scale" "cmz-scale")
10 0.1928176798306814 0.06372868695255192 -0.0007139942308201835 -0.02264747133242453 6.197789091208879e-05 0.0001430623754442267
20 0.2168720056619696 0.0618780760127352 -0.001157729919506506 -0.02566971179245881 0.0001470590563633698 -4.589795120764882e-05
30 0.2113166028962714 0.06858830188550756 0.003336239755806121 -0.02166219430489816 0.0005609649737199554 -0.0002894221637058049
40 0.2102430980037671 0.06270593742940761 0.005614170940771474 -0.01999194011022558 0.0006405433768194451 -7.538720272313685e-05
50 0.2118873391774896 0.06462579637289516 -0.0003512820343798272 -0.01932759735381782 0.0003928955486691053 -0.0006761967338856342
60 0.2063757318960976 0.06258329566646703 0.004904365998009777 -0.01992594626598427 0.0007228156065651969 -0.0009023206080783994
70 0.2044934858311866 0.06241396164419455 0.00528986947616366 -0.0187047733134138 0.0007292759522592613 -0.001279719753952929
80 0.2032520634182966 0.06262983132129563 0.002699711187979769 -0.01743777265530896 0.0004856264587773321 -0.0009504454416720928
90 0.2014697372806226 0.05988729670862886 -0.0002851256270978927 -0.01600347350423122 -5.172999878221156e-05 -7.020499609503972e-05
100 0.2008990410593844 0.05919536565571459 -0.002513947854287792 -0.01515403352361001 -0.0004430667089915798 0.000660453570356081
110 0.2012777499992477 0.05983141448369553 -0.001623629330597706 -0.01495277391352273 -0.0003304446860779102 0.0005797519265064241
120 0.2017483485637638 0.06030993343003003 0.001173604143836838 -0.01493078679448878 6.728055703991743e-05 4.07767435189859e-05
130 0.2024874301234935 0.06127271869482338 0.003246845057373171 -0.01501985253103634 0.000456709984764094 -0.0005305481094015461
140 0.2030213043829928 0.06180318987400537 0.004011358853420437 -0.01509671720021868 0.0006522403450032483 -0.0008834527344950804
150 0.2033620909065183 0.06235624765106344 0.003492240832556767 -0.0151906489201344 0.000683208540462364 -0.0009505099604740183
160 0.2036029227139758 0.0628530605397728 0.002553014635395721 -0.01524912966803918 0.0005639820719734097 -0.0008340129717339196
170 0.2036397305499105 0.0628772966680647 0.001432740177879809 -0.01516172181121231 0.0003482638724826152 -0.0004812587407769411
180 0.2036530832178229 0.06284608348230883 0.0006608840679549073 -0.01503640953523862 0.0002175410812704105 -0.0001732335277262758
190 0.2035541843212915 0.06299618634271777 0.001280928169840845 -0.01497477059010912 0.0002938328527979571 -0.0002445396775816333
200 0.2035206552153381 0.06351342349175096 0.002385363891041913 -0.01508319072613908 0.0004835308460202637 -0.0005324790773067037
