"report"
"Iteration" "cd-scale etc.."
("Iteration" "cd-scale" "cl-scale" "cx-scale" "cmx-scale" "cmy-scale" "cmz-scale")
10 0.1858065587554962 0.06103789329256402 -0.0002465641961323452 -0.02264776585823764 0.0001131339734638842 -3.047626427541771e-05
20 0.2086784908955061 0.06648305230382748 -0.000820749286295453 -0.02432933686415984 0.0001835477544553351 -0.0001713925072893015
30 0.2055086919565708 0.07349467150471994 -0.001131474862869513 -0.02421143710519177 -0.0002183942023010756 0.0003764017174530401
40 0.2007985393481039 0.07538293209957427 -0.00629331725741346 -0.02004906288347858 -0.0006552640529854409 0.0004482446472038919
50 0.2031823537111129 0.07132797836006538 -0.005488094945651292 -0.01974116719329231 9.241011809827385e-05 -0.0003531448300932129
60 0.2016005357416896 0.07050191726438668 -0.004125469249444036 -0.01767877024878675 0.001405159406921258 -0.001899547349516273
70 0.2002268453693737 0.07209080805573913 -0.001644274257233041 -0.01704684550014864 0.001819581054908734 -0.001842218855507491
80 0.1984941227186789 0.07203419424532619 0.002555261655599234 -0.01545220950575447 0.0007593508189662329 -0.0006705700434835049
90 0.1977443647327315 0.07115210204538891 0.002806366021171305 -0.01385225883379544 0.0002397612793283855 -0.0002782361055371163
100 0.1983458152143914 0.07203884306110797 0.002120528821045517 -0.01314793570459583 0.0001065222901205231 -0.0001327866156894924
110 0.1992593987263108 0.07250995990025734 0.0009314358787851479 -0.0128463935215807 -1.739606620298326e-05 0.0001006661829334387
120 0.2001158888776011 0.07367097191121548 -0.001352790038402056 -0.01271281879622212 -0.0002436088122530153 0.0003476609298804493
130 0.2002496290401653 0.07450135157924984 -0.002795547106217997 -0.01248441149860778 -0.0003796077592645204 0.0005362318586276669
140 0.2001128463906171 0.07479623893739902 -0.002956917019635095 -0.01226845332673896 -0.0004206037648386221 0.0006668360359761308
150 0.1999993063755654 0.07409656414564758 -0.001891608526070006 -0.01217179341032707 -0.0003542924494465697 0.0006320674080894523
160 0.1996076405673586 0.07276842661653443 -0.000616117647141005 -0.01219118242728766 -0.0001102295957894954 0.0002922267473264763
170 0.1989951364731787 0.07209757206642824 0.000252026237002444 -0.01238746725899166 0.0001559374920866009 -0.0001794860071225377
180 0.1984394989744774 0.07206359456471839 0.0007716078928003429 -0.01266015475695923 0.0002665129042818662 -0.0004661941478827786
190 0.1980776111675124 0.07222177570392267 -1.625359243371234e-05 -0.01291517346671122 5.781120502932193e-05 -0.0002727033164008107
200 0.1979775793910962 0.07194990325603121 -0.002263491652571409 -0.01303917451472676 -0.0004250953544829807 0.0003581193951367807
210 0.1978400093793878 0.07171147679269693 -0.004380971941224673 -0.01306797622935591 -0.0008105968710516523 0.0009992950910525356
220 0.1976680412805562 0.07170855312251048 -0.004490466970990102 -0.01309631677438203 -0.000781694566725306 0.001157053369882024
230 0.1976387090909755 0.07180176417017042 -0.002379834633267646 -0.01316764956218207 -0.000373585534541959 0.0007088823376179565
240 0.1977343945729272 0.07188757204987622 0.0004802365177435221 -0.01326724821303504 0.0001942065336007399 -4.97556114450409e-05
250 0.1975358169899894 0.07167797874705807 0.00231416719212669 -0.01315393741742245 0.0005237476616194556 -0.0006736798191580922
260 0.1973539003664959 0.07205457596371297 0.001857904496951436 -0.01312168074549153 0.0003773752415621211 -0.0007166197151969432
270 0.197484846034562 0.0725300271875079 -0.001352322116302437 -0.01324916290712961 -0.0002455019207547133 6.836498057925549e-05
280 0.1974090270078796 0.07247752580695016 -0.004229072629710508 -0.01319602279691453 -0.000650255146717673 0.0007998438168968926
290 0.1975264427606855 0.07216275226362029 -0.004215373854430436 -0.01307984846758128 -0.0005311968438254323 0.0008889260628457216
300 0.1976929691379744 0.07210048424804216 -0.001439912120318223 -0.01307052218199932 -4.028865808126285e-05 0.0002781146957121835
310 0.1976306581232402 0.07202020286546389 0.001202029409200472 -0.01309008798567867 0.0003779792255297517 -0.0004349364850215629
320 0.1975143031830351 0.07197702682895452 0.001831808143757209 -0.01303997858860667 0.0003908101362138275 -0.0007217253385811988
330 0.1975927921620713 0.07243306868956927 -0.0006677205964249014 -0.01316370353685932 -0.0001302656874966958 -0.0001190083332972415
340 0.1975195098080472 0.07250602146668607 -0.003742227381045682 -0.01319228437455261 -0.000616211676046718 0.0006974132785241765
350 0.1975301328979744 0.07228988738151519 -0.004415144363008517 -0.01311617670926696 -0.0006158482242541926 0.0009784243339849656
360 0.1977187080495575 0.07204546467832 -0.001974306479917355 -0.01306398780175371 -0.0001714246813882408 0.0004923159547767077
370 0.1976868697677851 0.07207258545073271 0.0009327005921660797 -0.01309969350661402 0.0003104091250043635 -0.0002590417326174628
380 0.1975678029482382 0.07195860733721186 0.002118162770002127 -0.01304569310868267 0.0004413406294380563 -0.0007058763254421149
390 0.1976023207601129 0.07239337025313407 0.0001518843599906668 -0.01313453179502512 1.779915479067235e-05 -0.0002978634628145354
400 0.1975823473351011 0.07255087119852573 -0.003149623799452811 -0.01319950741771529 -0.0005301095570435718 0.0005433044535565171
410 0.1975000610596125 0.07241340261722859 -0.004542890891257514 -0.01313562712810904 -0.0006454563482373018 0.0009713015837711162
420 0.1977014801462136 0.07204649837137386 -0.002630998545410605 -0.01305750548779359 -0.0002733401562603837 0.0006276086363217688
430 0.1977223053764828 0.07211835738715978 0.0004219654214317995 -0.01310205169456136 0.0002361405514013632 -0.0001185142635274164
440 0.1975939265072272 0.07194556916600785 0.002088955520461839 -0.01305230259983989 0.0004586065018677429 -0.0006713605815936888
450 0.1975761581782701 0.07230659840023421 0.0007808143178090152 -0.01309611363834631 0.0001423867529986114 -0.0004561299687303885
460 0.1976227662814584 0.07256984299579543 -0.002532834491054463 -0.01319625495673367 -0.0004445487204230785 0.000386452008207495
470 0.1974880541501464 0.072479105207475 -0.004517364128430562 -0.0131424804701942 -0.0006666696607544308 0.0009424869810458044
480 0.1976778665819427 0.07207631674406531 -0.003239902658774978 -0.01305381143068205 -0.0003820297125662477 0.0007597835660189722
490 0.1977556319378525 0.07213607892623038 -0.0001327493301222661 -0.01309220185326073 0.0001420847584434051 3.944688821271876e-05
500 0.1976285103322114 0.07195152571997517 0.001945060652121704 -0.01305898849225544 0.000447215555598481 -0.0005954047934273022
510 0.1975665838233742 0.07219939970113637 0.001330097447479995 -0.01306037161043851 0.0002514377992586152 -0.0005804653196055584
520 0.1976539964233803 0.0725680749545613 -0.001848358925129852 -0.01318799075037617 -0.0003405382261360849 0.0002154433043290238
530 0.197498009698082 0.07251807430399355 -0.004328142341756778 -0.0131521515041699 -0.0006637212766283851 0.0008796952811255235
540 0.1976460913552927 0.07214659100143049 -0.003764864919133462 -0.01306458002238955 -0.0004778165374914238 0.000864832417630897
550 0.1977692095182754 0.07213101515543706 -0.000733883496071465 -0.01307831885876815 3.967415944455234e-05 0.0001985740972804045
560 0.1976551926264938 0.07198847411343295 0.001695991838312942 -0.01307033759676903 0.0004188135403645632 -0.0004980125533084238
570 0.1975641184709785 0.07209881860493024 0.001747519452858025 -0.01303834553824504 0.0003409769184536021 -0.0006667449879274904
580 0.1976627959096094 0.07254311988583008 -0.001137069124040615 -0.01317362040114862 -0.0002219715685481538 3.453618570697462e-05
590 0.1975251903033753 0.07254081916736695 -0.00400191604611426 -0.01316401550216577 -0.0006376951771795657 0.0007871817547487451
600 0.197602339378977 0.07224401950864889 -0.004166898830500225 -0.0130819033274847 -0.0005570371289400844 0.0009385255648100176
610 0.1977683682450868 0.07210673575797837 -0.001371757757608575 -0.01306163978939518 -6.942372746136784e-05 0.0003580702740683191
620 0.1976844941223257 0.07204518070090098 0.001346373346316495 -0.01307906592649025 0.0003718155771072953 -0.0003793955739949284
630 0.1975757667468403 0.0720153310798525 0.002009686183683222 -0.01302914478019427 0.0004061989517232416 -0.0007095157179888857
640 0.1976520493755277 0.07248786103427061 -0.0004242865000160485 -0.01314937569280807 -9.395621601911486e-05 -0.0001486504276657384
650 0.1975586453367632 0.07254915204395231 -0.003570629184040463 -0.01317533814275314 -0.0005906905281623146 0.0006678361983741552
660 0.197556661223548 0.07234199829900353 -0.004437244268576701 -0.01310174047945356 -0.0006178361708127245 0.0009763189148330613
670 0.1977522098161983 0.07207167860053496 -0.002035292664572244 -0.01304911447856537 -0.0001818670563773224 0.0005119385318402866
680 0.1977132464610543 0.07209049434737144 0.0009050748578234999 -0.01308543594551556 0.0003050246064689546 -0.0002412266974156459
690 0.1975962585902404 0.07195876350762592 0.002114041330008954 -0.01303205366230752 0.0004429629698731342 -0.0007047441096968682
700 0.1976245666753831 0.0724029462995749 0.0002628901011392615 -0.01311766189360277 3.551608766696186e-05 -0.0003215440266980541
710 0.1975989828795213 0.07255939792209808 -0.003038915637381107 -0.01318443056870669 -0.0005208210389646359 0.0005249135622733485
