beta 	CdA		ClA		CsA			CrAl		CpAl		CyAl
----	---		---		----		----		----		----
0	 	0.255	0.0474	0.00301		-0.000796	0.0184		-0.00619
15	 	0.251	0.0291	0.0141		-0.00927	0.0179		-0.0117
30	 	0.266	0.0215	0.0125		-0.0149		0.0159		-0.0196
45	 	0.281	0.0116	0.0287		-0.0182		0.0135		-0.0257
60	 	0.275	0.0164	0.0192		-0.0128		0.00603		-0.0230
70		0.260	0.0197	0.00750		-0.0111		0.00628		-0.0211
75	 	0.259	0.0125	0.00285		-0.0106		0.00416		-0.0209
80		0.262	0.00279	0.0145		-0.00976	0.00111		-0.0190
90	 	0.263	0.00157	0.0333		-0.00415	-0.00266	-0.0165
