beta 	CdA		ClA		CsA			CrAl		CpAl		CyAl
----	---		---		----		----		----		----
0	 	0.240	0.0564	-0.00198	-0.000935	0.0154		-0.00673
15	 	0.237	0.0372	0.0111		-0.00592	0.0171		-0.00969
30	 	0.250	0.0178	0.0209		-0.0150		0.0146		-0.0174
45	 	0.262	0.0200	0.0165		-0.0235		0.0138		-0.0226
60	 	0.260	0.0202	0.0200		-0.0196		0.00762		-0.0218
70		0.250	0.0172	0.0187		-0.0150		0.00778		-0.0192
75	 	0.245	0.0140	0.0167		-0.0137		0.00440		-0.0186
80		0.250	0.0159	0.0167		-0.0153		0.00202		-0.0180
90	 	0.253	0.0112	0.0247		-0.0128		0.000273	-0.0168
