"report"
"Iteration" "cd etc.."
("Iteration" "cd" "cl" "cmx" "cmy" "cmz" "cx" "cd-scale" "cl-scale" "cs-scale" "cd-scale-avg" "cl-scale-avg" "cs-scale-avg" "cmx-scale" "cmy-scale" "cmz-scale")
10 0.1543987047562898 0.04802287948679809 -0.01624733540738867 -0.005873548354605966 0.01056407604631953 0.05621066926030698 0.1609101598367155 0.04908623333807345 0.05142611469954819 0.4174361964324408 0.1081767273338792 0.070985954509068 -0.01619562070730256 -0.003992901197333635 0.009574298095118639
20 0.1992761793264725 0.05890753287733709 -0.01513494356268717 -0.001499038060676216 0.00264170118495514 0.01062282155270387 0.2061619376025169 0.05961151230536301 0.008725948664023056 0.3024128673123009 0.08143418741353245 0.04979982295146045 -0.01577280100120127 -0.0005231170776715887 0.002173384248625196
30 0.214263059717171 0.06458300847305289 -0.01599832464859217 0.0003787737341852253 -0.0007422094209357299 -0.0130336145760215 0.2217152499857656 0.0653600576908706 -0.01297058348034903 0.2738095582817693 0.07542845530995915 0.03099150841903676 -0.01662695772153944 0.0001083360907464665 -0.0006866555450036209
40 0.2188603513020227 0.06627224016299196 -0.0169278950369627 0.0003023597036146077 -0.0004221532254020723 -0.01315635172779684 0.2269954790444266 0.06853882027447032 -0.01103632032382726 0.2616131719495996 0.07333114727365826 0.02003763513364571 -0.01666865516431986 -0.001466413028155154 0.0002329739903830146
50 0.2195207302910116 0.06670097146005406 -0.01660859333847574 -0.0004419838550437848 0.001159845001827673 -0.006382847894226018 0.2273927329838982 0.06961818692833799 -0.001298694640576719 0.2548246634770003 0.07256699316547478 0.01498212100294823 -0.01611943332561717 -0.003259402852292487 0.002393879983568948
60 0.2197383241333453 0.06676314242345342 -0.01655819706499274 -0.0002604055769277185 0.0008470577156187177 -0.00249569081228679 0.2266359003464543 0.06791002825459626 0.0006638432650360224 0.2501464535634542 0.0719460360529381 0.01252794310874081 -0.01728951741489465 -0.001622939578576991 0.001539728577038924
70 0.2191183761279676 0.0663958397260877 -0.01629629288645514 6.993265880314057e-05 0.0009463053165848347 -0.0006498932728519018 0.2260716877993124 0.0663764292532263 -0.0002451978717821082 0.2467640085346498 0.07123252933010478 0.01071055897833579 -0.01766157321458198 1.801436978616458e-05 0.00105329256151452
80 0.2198187014505387 0.06573129908430084 -0.01580923138615886 0.000473144233619638 0.0006540588208148218 0.002603951150197935 0.227238197914702 0.0657451198739929 0.004104190669637737 0.2442271235687536 0.07057476502748598 0.009654888012919258 -0.016970306598882 -0.0002065937863005278 0.001005126843648298
90 0.2198237841027582 0.06688580701756157 -0.0156916902869194 0.0007440451102434237 0.0005029849614493194 0.0005493293297075193 0.2271516740960285 0.06639194654145782 0.00244645971086985 0.2423661448240123 0.07005658028557644 0.0090014008455021 -0.01696332391642882 -2.63850997248709e-05 0.0008776139539345772
100 0.2177126344111142 0.06816391158975151 -0.01603519520644306 8.408416583400892e-05 0.0008969878387569977 -0.001190533476854994 0.2250948743008106 0.0674951152692993 -0.001090910565891533 0.2407345368650008 0.06976442697489983 0.00812410681313047 -0.01736138737618843 0.0001987714230474873 0.0008289607003253186
110 0.2160818919783717 0.06831140995815974 -0.01651789135196933 -0.0005859384707055906 0.001222147848589502 9.400454288008837e-05 0.2236527762645112 0.06774921306050785 -0.0008630922948430357 0.2214085813016928 0.0657109742103452 0.000900435166138066 -0.01774552796383497 -2.240173137187386e-05 0.0009229935889677408
120 0.2163235193241282 0.06877557547081208 -0.01690586403297938 -0.0007203299083156949 0.00113861087691839 0.002624715872851172 0.2236763953723735 0.06793344111571731 0.001299217051151209 0.2250256485646669 0.06702758496327001 -0.001927019952380852 -0.01812426044521582 3.755670499398104e-05 0.0007778979881134319
