homePos,0,0,0,-10,25,40,15,-10,25,40,15,0,10,7,0,0,0,0,10,7,0,0,0
config1,16.3333333333333,3.33333333333333,0,-15.5,17.9166666666667,40,23.15,-4.5,17.9166666666667,40,23.15,-15,9.75,7,-9,0,0,0,3.75,7,-45,0,0
config2,12,3.33333333333333,0,-37.5,17.9166666666667,40,45.15,-37.5,17.9166666666667,40,31.95,30,9.75,7,-12,0,0,30,3.75,7,-18,0,0
config3,6.66666666666667,3.33333333333333,0,-26.5,17.9166666666667,40,29.75,-15.5,17.9166666666667,40,51.75,15,9.75,7,-15,0,0,15,3.75,7,-21,0,0
config4,-5,3.33333333333333,0,-4.5,17.9166666666667,40,40.75,-26.5,17.9166666666667,40,36.35,0,9.75,7,-24,0,0,-15,3.75,7,-3,0,0
config5,18.3333333333333,-3.33333333333333,0,-15.5,37.25,40,25.35,-4.5,37.25,40,45.15,-15,21.75,7,-45,0,0,0,15.75,7,-15,0,0
config6,10,-3.33333333333333,0,-37.5,37.25,40,31.95,-37.5,37.25,40,38.55,30,21.75,7,-21,0,0,30,15.75,7,0,0,0
config7,6.66666666666667,-3.33333333333333,0,-26.5,37.25,40,18.75,-15.5,37.25,40,47.35,15,21.75,7,-3,0,0,15,15.75,7,-33,0,0
config8,-5,-3.33333333333333,0,-4.5,37.25,40,20.95,-26.5,37.25,40,27.55,0,21.75,7,0,0,0,-15,15.75,7,-6,0,0
config9,18.3333333333333,-10,0,-15.5,14,40,34.15,-4.5,27.5833333333333,40,18.75,-15,15.75,7,-18,0,0,0,21.75,7,-30,0,0
config10,7,-10,0,-37.5,16,40,27.55,-37.5,27.5833333333333,40,49.55,30,15.75,7,-36,0,0,30,21.75,7,-39,0,0
config11,6.66666666666667,-10,0,-26.5,14,40,49.55,-15.5,27.5833333333333,40,34.15,15,15.75,7,-42,0,0,15,21.75,7,-42,0,0
config12,-5,-10,0,-4.5,13,40,47.35,-26.5,27.5833333333333,40,29.75,0,15.75,7,-39,0,0,-15,21.75,7,-36,0,0
config13,18.3333333333333,10,0,-15.5,27.5833333333333,40,51.75,-4.5,14,40,25.35,-15,3.75,7,-30,0,0,0,9.75,7,-12,0,0
config14,14,10,0,-37.5,27.5833333333333,40,42.95,-37.5,14,40,40.75,30,3.75,7,-33,0,0,30,9.75,7,-27,0,0
config15,6.66666666666667,10,0,-26.5,27.5833333333333,40,36.35,-15.5,13,40,42.95,15,3.75,7,-27,0,0,15,9.75,7,-24,0,0
config16,-5,10,0,-4.5,27.5833333333333,40,38.55,-26.5,13,40,20.95,0,3.75,7,-6,0,0,-15,9.75,7,-9,0,0
