config,pitchAngle,yawAngle,ironcub-cd,ironcub-cl,ironcub-cs,head-cd,head-cl,head-cs,torso-cd,torso-cl,torso-cs,left-back-turbine-cd,left-back-turbine-cl,left-back-turbine-cs,right-back-turbine-cd,right-back-turbine-cl,right-back-turbine-cs,left-arm-cd,left-arm-cl,left-arm-cs,left-turbine-cd,left-turbine-cl,left-turbine-cs,right-arm-cd,right-arm-cl,right-arm-cs,right-turbine-cd,right-turbine-cl,right-turbine-cs,root-link-cd,root-link-cl,root-link-cs,left-leg-upper-cd,left-leg-upper-cl,left-leg-upper-cs,left-leg-lower-cd,left-leg-lower-cl,left-leg-lower-cs,right-leg-upper-cd,right-leg-upper-cl,right-leg-upper-cs,right-leg-lower-cd,right-leg-lower-cl,right-leg-lower-cs
hovering,0.0,-160.0,0.138522454277435,-0.05365333597362947,-0.001526717503745968,0.001607224366739178,-0.001741443777158845,0.0006289010011959942,0.03764291636232978,-0.02370321064204273,0.008477264721004586,0.01183993883733513,-0.005401719580147325,0.004197300753243262,0.009277715349127524,-0.004810607389860366,-0.007360390559893402,0.006212114983674436,-0.003932660818689758,0.004426070207230827,0.01182263267745134,-0.003583951775297751,-0.0002336974839600921,0.005604022959015469,-0.001294233047748447,-0.003383040660093485,0.01078518873540464,-0.00292761559203303,-0.0009434228310218054,0.007112783382671149,-0.003758131464243728,-0.003809611812247599,7.54655206226235e-05,-0.002283998575466379,-0.0007448991174001303,0.01350430982512105,-0.001113958072077358,0.00313177030197987,0.003475664767155781,-0.002408029924935899,-0.00470632440579128,0.0195624765107869,0.003306224686072144,-0.001206637617992714
hovering,10.0,-160.0,0.1573364901684791,-0.06789270244345265,0.006223299760860269,0.0005948085212874901,-0.0007651049688176407,0.0007724029057000483,0.04208106888527968,-0.02157999358489607,0.01128463273362236,0.01172481498792629,-0.007389774951999106,0.009148427511102217,0.01174342107937824,-0.005636281902646264,-0.00784570281241344,0.006749952530853073,-0.00339401045175761,0.005386589419072989,0.01350557352785216,-0.003846814010434122,-0.001421800485726983,0.005075303393937186,-0.0009562764070288172,-0.001355230417329233,0.0111670052876251,0.0009197236937509888,-0.001075824710097066,0.01030835964075744,-0.008303070787895486,-0.003100161935418605,0.002994718183628055,-0.00614563819206947,0.001556594499689774,0.01460775399295688,-0.003711709797326881,0.0003414857086291856,0.006928030191956759,-0.006817565386433919,-0.003835586335694549,0.0198556799450408,-0.0002661856958982446,-0.003632526320276429
hovering,20.0,-160.0,0.1743790953451365,-0.08167057335873541,0.007461740242116465,-0.001381590444038281,-0.001256057928600989,-0.001442664137994834,0.04279978830254958,-0.01491892299775171,0.01130344881788969,0.01406088291615191,-0.007340478950214014,0.01088483151897795,0.01261613683749991,-0.004998808355347825,-0.008167878181734306,0.006341433713515472,-0.001889622739361634,0.005382767871259156,0.01402286197573696,-0.003861574724886922,0.002527854335154083,0.006485734137336988,-0.0009380392146213535,-0.0009789905710024121,0.01079017126687291,0.002472057656329198,-0.001644756320628429,0.01025963816421044,-0.00996003106143715,-0.0014258693001746,0.007832563453878446,-0.009041007196477784,-0.002013546875832762,0.01860509317555175,-0.006902526716718155,-0.004647805719290999,0.009723626733907694,-0.01371890595287541,0.001646392503940681,0.02222275511196269,-0.009316655176771669,-0.003962043698446742
hovering,30.0,-160.0,0.1947775978371439,-0.08973248259719101,0.02924603144758722,-0.001471008422694898,-0.0008592760537326753,-0.001674190122688714,0.04162589928633949,-0.01007639924338314,0.01356303618993493,0.01594211512047939,-0.006837486705673723,0.01324556086688049,0.01073222775239036,-0.004474425956935708,-0.007414039790352597,0.006389239937160236,0.0005124317313311446,0.007093075266784702,0.01468925269940079,-0.003771680510955451,0.00361292849248679,0.007582873143218357,-0.0004626909663627387,-0.002096851008408932,0.006971287160526583,0.001710910200261896,-0.002709480218240478,0.01688322806295848,-0.01047529503839434,0.000834242157943252,0.01166964348820651,-0.01184783374127527,0.006940334354439596,0.02086276520673535,-0.01136167898757768,-0.00138872414745114,0.01465473317958729,-0.01661110103842154,0.005014196978321882,0.02824534122283603,-0.01517795628607177,-0.005774057572062564
hovering,0.0,-160.0,0.1385316695088979,-0.05241763280038486,-0.001634876655095185,0.0017255040834425,-0.001625137997988608,0.0003441272859888399,0.03704782930493562,-0.02358653316987249,0.007800623598954937,0.01175318534364067,-0.005446885699669128,0.004131300205761179,0.00906256972621324,-0.004731663093425365,-0.007388825241014167,0.006217919631284442,-0.003602167838412764,0.004676260848048962,0.01181781614235983,-0.003398934741830678,0.0001620745372993227,0.006041211168858247,-0.001209024516888615,-0.003767673920580609,0.01097560071861254,-0.002742387214465116,-0.0006766785301839185,0.007229122672136439,-0.003493334417833503,-0.003385392581732649,5.919884388715271e-05,-0.002297641705764993,-0.0007468954975337769,0.01349562770395923,-0.001161385165811786,0.003159183886069955,0.003533169453610265,-0.0025334466292391,-0.00470262461375158,0.01957291471595766,0.003410909390817285,-0.001240356632421679
hovering,10.0,-160.0,0.1583109578098216,-0.0690008543753252,0.0008116189871595513,-0.0007567320115885042,-0.0002767671773218937,1.393735354269788e-06,0.04203067461727127,-0.02135509610648162,0.01121503428860983,0.01199286626018565,-0.007575654365719451,0.00906517819049349,0.01175191188627512,-0.005789376529880745,-0.007949745533733676,0.006728535575980118,-0.003171692721066825,0.004589592342554949,0.01510353134463506,-0.004499580229234641,-0.005658042017483465,0.005748172750509,-0.000982127019739044,-0.002135128651930194,0.01121885855645747,-1.979375816424954e-05,0.0002208261594349514,0.0100924741498859,-0.008268809021541158,-0.003137040153500379,0.002984905571440672,-0.006194936082126612,0.001641752453230563,0.01457928971238725,-0.003771961458028258,0.0004363830148151367,0.006974858350754063,-0.006797114848337566,-0.00385412351025173,0.0198616110456285,-0.0002979450576831392,-0.003624461330434191
hovering,20.0,-160.0,0.1738443317326563,-0.0824336237072102,0.009084253365721405,-0.001590709461951846,-0.001065706792032575,-0.001214677045326836,0.04276737066368613,-0.01599316865380806,0.0113755918038353,0.01408451488607912,-0.007449895352514357,0.01088001240670478,0.01259747968790822,-0.00591526862325484,-0.008153207879313692,0.006174928466111921,-0.001808752412353732,0.005264826707576368,0.01416289422134892,-0.00390228406255495,0.002006500399038264,0.006722621948765326,-0.001189098501995698,-0.001061281600229822,0.0106387645387117,0.002823775839163679,-0.002247848791685573,0.01081961339189546,-0.01001018172252139,-0.001195779049451914,0.007617006470264877,-0.00927185533837727,-0.0005026842586933575,0.01827692333274488,-0.006716931035871769,-0.003425322762380687,0.009615546066607852,-0.01307828817923574,0.001217178694302353,0.02195737752048376,-0.00885596887185351,-0.003859055258653777
hovering,30.0,-160.0,0.1961691044907082,-0.09140573423249422,0.03119220342268322,-0.001915653726445914,-0.0006261389908802366,-0.001257890783546386,0.04216116310461798,-0.00955315936447335,0.01429342053318148,0.01644793713065737,-0.006661479777825224,0.01374505937769086,0.01043676758785237,-0.004020238352421017,-0.007315056205396592,0.006369859062640012,0.0008192338381945288,0.007282719852607177,0.0147884724588411,-0.005001552224371982,0.002163965163429417,0.00818054635438805,-0.001181381616063898,-0.001891933959788932,0.006882748307239378,0.001696429140277696,-0.002279555145682836,0.01706074514773651,-0.01067503696112497,0.0007924818062657401,0.01170784626853381,-0.01195072554265621,0.006975812836690772,0.02091119912942289,-0.01145075042225068,-0.001253839966090186,0.01478490611787655,-0.01705750556244673,0.00537659762464456,0.02835256754734806,-0.01574342839645216,-0.005439577711321851
hovering,40.0,-160.0,0.2132142127153693,-0.08133407694041361,0.04525573474381513,-0.0002321100016220965,-0.0004813810512704518,0.002472417761551221,0.04421646501175776,-0.0009209957067858593,0.01849350917923605,0.01864300999997383,-0.004350163409599125,0.01469528783534254,0.00824715807455523,-0.003301220160409526,-0.009133151239826191,0.006030951169320001,0.0005979438129306017,0.007631434950821552,0.0148147102671695,-0.005373316657746136,-0.0006541196349875339,0.006506632211667412,-0.001605933651810497,-0.002222521182322593,0.003272682572210692,0.0007983975868794423,-0.0003145601916131533,0.02057095101538693,-0.01118747000381255,0.0008688159804086401,0.01595245058518359,-0.01276063732638304,0.01488153985990487,0.02538302373443519,-0.01642575676993197,0.004473563689599512,0.01787265861007873,-0.008028797407899737,-0.001806512081245826,0.0319356294652525,-0.01829474619457476,-0.004129970183053962
hovering,50.0,-160.0,0.2300209983726966,-0.06826057993135891,0.06337662912539191,-0.001432628252425277,0.0002811246622352183,0.003592680592310663,0.04889841374974842,0.003530591022816846,0.01993770418528293,0.02164781669003018,-0.003734774353552347,0.0157892330723696,0.01009222997221434,-0.003157466489144931,-0.01142442432679155,0.005291106194018925,0.00272818087237948,0.005773560239701918,0.01405487205210008,-0.005815041108446221,-0.001125707565703633,0.00526524633286243,7.258106534974286e-06,-0.002854847747742543,0.001933847482342438,0.000541216112092375,-0.0001077096545274381,0.02441495272357195,-0.00909746191969496,0.003693334171976567,0.02089081775532445,-0.01025196823045849,0.01386679696229331,0.03010368459851777,-0.01956020146678224,0.01303765773801433,0.01824234606822306,-0.006389130715609156,0.002481848421668661,0.0306182930061678,-0.01734290642372945,0.0007165030365390903
