"report"
"Iteration" "cd-scale etc.."
("Iteration" "cd-scale" "cl-scale" "cx-scale" "cmx-scale" "cmy-scale" "cmz-scale")
10 0.1725954265042207 0.05786385594852005 -0.0004316840526007443 -0.02161695730321166 0.0001672798960633593 -9.46103731255417e-05
20 0.2001877537097124 0.06858947090479438 -0.0006796695585402945 -0.01768045722602771 0.0004447867422761006 -0.0001173741728509206
30 0.2050606737879913 0.07161857737880346 -0.001185244091514063 -0.01565268399118256 0.0003959955147750401 -0.0001613221900357033
40 0.2061286109471326 0.06832441186986558 -0.001205655994969368 -0.01222851703144457 0.0003679977592778508 -2.190554224773053e-05
50 0.2047537429625305 0.06706414917652556 -0.004924889969615332 -0.01104320625127175 0.0004693894696922753 -0.00044278848271228
60 0.2011335364891846 0.06420536694723619 -0.004747850088539995 -0.01267426416444303 0.0001636552523471309 0.0001250769405813883
70 0.1995860811407144 0.06169671421959371 -0.003032733831850938 -0.01436933358128434 0.0004047363536861293 -0.0002473546343479405
80 0.1993642118503699 0.06126230069412571 0.002759882627012833 -0.01505488475167877 0.0008222534761799307 -0.00093554754334459
90 0.1989151457874836 0.06134126350575337 0.006505114672338067 -0.01528226179823698 0.0004096983243288902 -0.0008447919709047772
100 0.1992572269661258 0.06124370737454492 0.003485155646078156 -0.01532752440191893 5.479507111839702e-05 -0.0002208477784101516
110 0.2013457474617298 0.06260341119157112 -0.003032846411803233 -0.01517501950713444 0.0001157348596710648 0.000204255515001276
120 0.2022242056431147 0.06175751711775401 -0.005488192341205332 -0.01464297563572883 0.0003270482885018664 0.0004416152160422097
130 0.2003760190516296 0.06080425791079888 -0.002928767026473536 -0.01457052355389657 0.0003007597459987609 0.0007028514534779557
140 0.1998759511588305 0.06372578551771632 -0.004376079630797303 -0.01405605550629573 0.001274591744294412 -0.0007060844943939667
150 0.2014806366070858 0.06350521797170808 -0.0001105586405804216 -0.01349206785653331 0.001347664759040989 -0.001033436209858037
160 0.2027092030877839 0.06061640855020681 0.00137845365970867 -0.01356329974688702 0.001021481180052556 -0.0008462513268677529
170 0.2028658999398661 0.05915552171704411 4.757416404865755e-05 -0.01404173584057616 0.001137718583878529 -0.001121049812958019
180 0.2032927093804661 0.05919967953573214 0.001035123198418843 -0.0144164047844625 0.000763044742467274 -0.0007925694066405158
190 0.2033133472498693 0.06048521487611044 0.0018991361187097 -0.01463024708017964 -0.0001386613312632886 0.0002005405811238525
200 0.2027818606627085 0.0605084993374559 0.0003347935162610236 -0.01499346283903183 -0.0005933083541081388 0.0005574372280663912
210 0.2033510745862701 0.06043326156794802 -4.468556031092145e-05 -0.01551675492896172 -0.000819797916324981 0.0006445241468586796
220 0.204267501207793 0.0608702461297684 0.001168700073762743 -0.01587308649149337 -0.0005386016600569566 0.000294378271580635
230 0.205096398181345 0.06082773506395896 0.002031990686496969 -0.01619648592056942 -6.395823634015184e-05 -0.000219478851164324
240 0.20508351626674 0.05994450257703038 0.004022524164284115 -0.01578284558788066 0.0002951066833796211 -0.000579931659295761
250 0.2060249532908464 0.06025219836345139 0.003024234632568493 -0.01566149991494397 0.0001455448391330133 -0.000165798823555213
260 0.2074913807603273 0.06125907510076272 0.001176150986182728 -0.0156255307416558 0.0001946545535832858 -4.81445306605631e-05
270 0.2073900030679348 0.06183304049935529 0.00247326311375384 -0.01549806968521472 -7.773405503984691e-06 0.0001575587184033193
280 0.2062701989242944 0.06025111018823334 0.0004718702341807487 -0.01546542240393831 0.0002648840224110223 -0.0004014819019844332
