        X       Y       Z
	----	----	----
D1	184.6	40.2	63.8
D2	187.0	42.0	83.6
D3	180.2	56.8	116.2
D4	136.6	63.4	80.0
D5	138.1	66.2	107.1
D6	108.3	33.1	66.9
D7	106.7	20.1	96.3
D8	110.8	40.2	121.7
D9	175.6	-28.9	46.9
D10	191.2	-16.6	92.4
D11	172.9	-32.4	105.4
D12	192.4	-18.7	142.3
D14	143.2	-29.6	159.0
D15	119.5	-16.8	116.5
D16	113.6	-11.9	75.1
